"","OWNER","TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_TYPE_MOD","DATA_TYPE_OWNER","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE","COLUMN_ID","DEFAULT_LENGTH","DATA_DEFAULT","NUM_DISTINCT","LOW_VALUE","HIGH_VALUE","DENSITY","NUM_NULLS","NUM_BUCKETS","LAST_ANALYZED","SAMPLE_SIZE","CHARACTER_SET_NAME","CHAR_COL_DECL_LENGTH","GLOBAL_STATS","USER_STATS","AVG_COL_LEN","CHAR_LENGTH","CHAR_USED","V80_FMT_IMAGE","DATA_UPGRADED","HISTOGRAM","DEFAULT_ON_NULL","IDENTITY_COLUMN","EVALUATION_EDITION","UNUSABLE_BEFORE","UNUSABLE_BEGINNING","COLLATION"
"1","FDW3NF","VW_CAMA_CSSTORE","CSS_MNC","NUMBER",NA,NA,22,9,0,"Y",1,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"2","FDW3NF","VW_CAMA_CSSTORE","CSS_PID","NUMBER",NA,NA,22,9,0,"Y",2,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"3","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_PID_1","NUMBER",NA,NA,22,9,0,"Y",3,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"4","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_BID_1","NUMBER",NA,NA,22,9,0,"Y",4,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"5","FDW3NF","VW_CAMA_CSSTORE","CSS_WEIGHT_1","NUMBER",NA,NA,22,9,0,"Y",5,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"6","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_PRICE_1","NUMBER",NA,NA,22,11,2,"Y",6,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"7","FDW3NF","VW_CAMA_CSSTORE","CSS_TREND_PRICE_1","NUMBER",NA,NA,22,11,2,"Y",7,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"8","FDW3NF","VW_CAMA_CSSTORE","CSS_ADJ_SALE_PRICE_1","NUMBER",NA,NA,22,11,2,"Y",8,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"9","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_DATE_1","TIMESTAMP(6)",NA,NA,11,NA,6,"Y",9,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"10","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_PID_2","NUMBER",NA,NA,22,9,0,"Y",10,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"11","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_BID_2","NUMBER",NA,NA,22,9,0,"Y",11,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"12","FDW3NF","VW_CAMA_CSSTORE","CSS_WEIGHT_2","NUMBER",NA,NA,22,9,0,"Y",12,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
"13","FDW3NF","VW_CAMA_CSSTORE","CSS_SALE_PRICE_2","NUMBER",NA,NA,22,11,2,"Y",13,NA,NA,NA,<NULL>,<NULL>,NA,NA,NA,NA,NA,NA,NA,"NO","NO",NA,0,NA,"NO","YES","NONE","NO","NO",NA,NA,NA,NA
