boro,decile,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
All,All,unlogpred,jitter,19498,0.996,0.977194025,0.983910832,6.734216133,1.012102034,-0.006374537,1.009117807,0.453945011,0.446945439,-0.006999572,0.984580573,TRUE,TRUE,TRUE
1,1,unlogpred,jitter,1020,1.0276,0.863023496,0.836553348,7.00368388,1.001535627,0.050151221,0.947756416,0.152317858,0.149180203,-0.003137655,0.979400612,TRUE,TRUE,TRUE
1,2,unlogpred,jitter,1015,1.0205,0.908031259,0.87036391,6.477735473,1.00006885,0.037397656,0.940068322,0.153532923,0.153772756,0.000239833,1.001562094,TRUE,TRUE,TRUE
1,3,unlogpred,jitter,1009,1.0138,0.894139353,0.876762289,6.606215174,1.001774217,0.022912489,0.966103668,0.157945894,0.154184514,-0.00376138,0.976185643,TRUE,TRUE,TRUE
1,4,unlogpred,jitter,1003,1.0027,0.84439481,0.89164644,7.032044822,1.001413006,0.04770358,0.972941766,0.167150963,0.163430737,-0.003720226,0.977743318,TRUE,TRUE,TRUE
1,5,unlogpred,jitter,1002,0.9919,0.897980417,0.912151388,6.980963537,1.000070625,0.028980214,0.966512795,0.173828635,0.174769021,0.000940386,1.005409845,TRUE,TRUE,TRUE
1,6,unlogpred,jitter,1001,0.9887,0.900933322,0.911203717,7.166411058,1.000853737,0.025232581,0.971028478,0.179539202,0.177744614,-0.001794589,0.990004473,TRUE,TRUE,TRUE
1,7,unlogpred,jitter,997,0.9871,0.912767665,0.928408095,6.885111611,0.99892563,0.029194175,0.962009089,0.18841991,0.190356304,0.001936393,1.01027701,TRUE,TRUE,TRUE
1,8,unlogpred,jitter,991,0.988,0.904613555,0.921200449,7.129690785,0.999486953,0.026974336,0.96133963,0.202067478,0.202999482,0.000932005,1.004612343,TRUE,TRUE,TRUE
1,9,unlogpred,jitter,989,0.9856,0.921427919,0.935520358,6.931812142,0.997692627,0.0269538,0.964892827,0.21413651,0.217453199,0.003316689,1.015488667,TRUE,TRUE,TRUE
1,10,unlogpred,jitter,984,0.9761,0.932771051,0.954264595,7.52334223,1.000130248,0.014195527,0.983973308,0.2730971,0.272105472,-0.000991628,0.996368954,TRUE,TRUE,TRUE
2,1,unlogpred,jitter,89,1.0851,0.934987482,0.358021113,9.995642949,1.020335012,-0.047880497,1.020979434,0.177112278,0.140561945,-0.036550333,0.793631851,TRUE,TRUE,TRUE
2,2,unlogpred,jitter,85,1.0396,0.950618001,0.249394543,7.322724858,1.008392457,-0.013842311,0.974753405,0.17009641,0.151269628,-0.018826782,0.889316996,TRUE,TRUE,TRUE
2,3,unlogpred,jitter,84,1.0287,0.951954788,0.343808822,7.796943534,1.005737706,0.002139536,0.956726388,0.184380649,0.175053436,-0.009327212,0.949413279,TRUE,TRUE,TRUE
2,4,unlogpred,jitter,84,1.0019,0.971432881,0.247002056,6.227186456,1.007228132,-0.01417898,1.006887342,0.18930272,0.173807269,-0.015495451,0.918144595,TRUE,TRUE,TRUE
2,5,unlogpred,jitter,83,0.9709,0.966605017,0.355450425,6.235199671,1.005908842,-0.002024186,0.926133926,0.178123572,0.170313833,-0.007809739,0.956155497,TRUE,TRUE,TRUE
2,6,unlogpred,jitter,81,0.9648,0.979599111,0.218452796,6.126027513,1.012177596,-0.028149801,1.022213468,0.201239127,0.179117664,-0.022121464,0.890073745,TRUE,TRUE,TRUE
2,7,unlogpred,jitter,80,0.9489,0.960709949,0.375062931,7.292593609,0.995600283,0.030981697,0.911995276,0.205106893,0.208034711,0.002927817,1.014274593,TRUE,TRUE,TRUE
2,8,unlogpred,jitter,80,0.9438,0.981546177,0.285645898,6.504714248,0.993460533,0.034370206,0.926621334,0.193702809,0.19491222,0.001209412,1.006243646,TRUE,TRUE,TRUE
2,9,unlogpred,jitter,79,0.9034,0.974810398,0.294097633,7.826590356,0.986830346,0.064746856,0.842371346,0.192805099,0.208395146,0.015590047,1.080859099,TRUE,TRUE,TRUE
2,10,unlogpred,jitter,77,0.9023,0.97498332,0.464266794,7.953140323,0.984317767,0.077161545,0.85590137,0.198192344,0.21448916,0.016296816,1.082227276,TRUE,TRUE,TRUE
3,1,unlogpred,jitter,554,1.0389,0.771402735,0.881662983,8.572807661,1.017457776,0.044047326,1.021299604,0.202299868,0.182393116,-0.019906752,0.901597801,TRUE,TRUE,TRUE
3,2,unlogpred,jitter,545,1.0211,0.952959684,0.953150139,5.060606833,1.000156226,0.013402529,0.984560117,0.19343491,0.193370516,-6.4394E-05,0.999667102,TRUE,TRUE,TRUE
3,3,unlogpred,jitter,539,1.0091,0.95069253,0.955949687,5.338373894,0.99682331,0.028515357,0.969081093,0.209945775,0.213835872,0.003890097,1.018529054,TRUE,TRUE,TRUE
3,4,unlogpred,jitter,533,1.0032,0.956213726,0.957791998,5.21293579,1.001743354,0.005526567,0.992184308,0.212828748,0.210296743,-0.002532005,0.988103087,TRUE,TRUE,TRUE
3,5,unlogpred,jitter,530,0.9943,0.947947181,0.956162822,5.802891349,1.000445537,0.01267871,0.982177277,0.219838752,0.2197731,-6.56519E-05,0.999701363,TRUE,TRUE,TRUE
3,6,unlogpred,jitter,525,0.9956,0.948059772,0.968829589,5.12494793,0.99866717,0.018381847,0.980314012,0.228318561,0.231042954,0.002724393,1.011932422,TRUE,TRUE,TRUE
3,7,unlogpred,jitter,518,0.9897,0.955282349,0.964386607,5.59900024,0.995895204,0.026856546,0.964807393,0.231361198,0.237908176,0.006546977,1.028297646,TRUE,TRUE,TRUE
3,8,unlogpred,jitter,514,0.979,0.95441656,0.952514193,5.830569899,1.001915575,0.007497558,0.978609982,0.233798812,0.231646333,-0.002152479,0.990793456,TRUE,TRUE,TRUE
3,9,unlogpred,jitter,510,0.9729,0.953955865,0.958927825,5.806721396,0.997738941,0.01911772,0.974883237,0.2419874,0.245019795,0.003032395,1.012531211,TRUE,TRUE,TRUE
3,10,unlogpred,jitter,503,0.9556,0.93842129,0.94770228,7.058963832,1.001901388,0.006663953,0.992748287,0.253245607,0.251271977,-0.00197363,0.992206655,TRUE,TRUE,TRUE
4,1,unlogpred,jitter,333,1.0399,0.857395586,0.832513091,7.091225814,1.007741059,-0.018692351,1.007827237,0.148289461,0.133704127,-0.014585334,0.901642814,TRUE,TRUE,TRUE
4,2,unlogpred,jitter,330,1.0156,0.919451553,0.827082371,5.255460001,1.003697924,-0.017736931,1.031326368,0.128037317,0.118654289,-0.009383029,0.926716455,TRUE,TRUE,TRUE
4,3,unlogpred,jitter,322,1.0098,0.934529237,0.867161628,4.252988002,1.001194878,0.01119014,0.993133486,0.12224102,0.118845161,-0.003395859,0.972219975,TRUE,FALSE,TRUE
4,4,unlogpred,jitter,318,1.0004,0.924880793,0.806178251,4.871303526,1.000067926,0.031081577,0.950816924,0.121836495,0.120882614,-0.000953881,0.992170813,TRUE,FALSE,TRUE
4,5,unlogpred,jitter,311,0.9991,0.949717649,0.840703543,4.274381407,0.998819705,0.033984572,0.947783329,0.126274272,0.128135756,0.001861484,1.014741596,TRUE,FALSE,TRUE
4,6,unlogpred,jitter,309,0.9879,0.923128713,0.815982148,5.450483513,0.99669134,0.067037406,0.909314158,0.133184136,0.139880152,0.006696015,1.050276372,TRUE,TRUE,TRUE
4,7,unlogpred,jitter,307,0.9803,0.956528972,0.834775024,4.770427091,0.997551194,0.04063759,0.939577668,0.152837421,0.156616557,0.003779136,1.024726508,TRUE,FALSE,TRUE
4,8,unlogpred,jitter,306,0.9747,0.96632081,0.866103529,4.434536254,0.998026008,0.036015093,0.946825801,0.161037722,0.164043398,0.003005676,1.018664422,TRUE,FALSE,TRUE
4,9,unlogpred,jitter,302,0.9727,0.941922581,0.918758943,5.023911013,0.999528533,0.025426681,0.963731714,0.165186301,0.166609595,0.001423294,1.008616294,TRUE,TRUE,TRUE
