bbl,GROSSCON,COOPUNITKEY,geometry
4097130163,180000,409713016300000001-0000   007B,"c(-73.8166305006502, 40.710028923747)"
5000100019,275000,500010001900000001-0000     2U,"c(-74.0787823165954, 40.6448552735597)"
4021540001,433010,402154000100000010-0000     2E,"c(-73.8485149211462, 40.7290462159917)"
4077540003,360000,40775400030000003-98000  191B2,"c(-73.7527434776046, 40.7387611497005)"
4084890001,265000,408489000100000001-0000     7Y,"c(-73.7142119283782, 40.7567797984328)"
4098600040,260000,409860004000000001-0000    304,"c(-73.7956956582022, 40.7148251162707)"
1010300029,1300000,101030002900000001-0000    07C,"c(-73.9797371614472, 40.7666774312235)"
4017270008,185000,401727000800000005-0000     2H,"c(-73.8562352648648, 40.7576018057688)"
4020860050,290000,402086005000000003-0000     7L,"c(-73.8598809796084, 40.7322696134384)"
1013670001,580000,101367000100000001-0000    25K,"c(-73.9631217477455, 40.7570988822293)"
1002630008,605000,100263000800000006-0000  D1601,"c(-73.9789832236522, 40.7129513545995)"
4083580001,390000,4083580001000002-102000    599,"c(-73.7264747810909, 40.7586543831382)"
3066810415,250000,306681041500000001-0000    A16,"c(-73.9675492628616, 40.6044647888692)"
1014270030,440000,101427003000000001-0000     8H,"c(-73.958712757562, 40.7695918478145)"
4083580001,390000,40835800010000002-88000    571,"c(-73.7264747810909, 40.7586543831382)"
3019020001,690000,301902000100000005-0000     5H,"c(-73.9681310607595, 40.6922421297711)"
1013350022,435000,101335002200000001-0000   1007,"c(-73.969992974262, 40.7493465828214)"
4005570003,370000,400557000300000011-0000    10D,"c(-73.9317116636673, 40.7626039028715)"
2057220445,215000,205722044500000001-0000     4U,"c(-73.9168597790226, 40.878087619241)"
2042910014,155000,204291001400000001-0000     3C,"c(-73.865315737909, 40.8533992847004)"
4020860050,300000,402086005000000003-0000     9F,"c(-73.8598809796084, 40.7322696134384)"
3067760065,170000,306776006500000001-0000     4L,"c(-73.9600486565762, 40.609607581338)"
1005880007,650000,100588000700000001-0000     1D,"c(-74.005120352603, 40.7323355718371)"
4014540001,350000,401454000100000002-0000     5G,"c(-73.8742656001621, 40.7544212809746)"
4039070975,240000,403907097500000001-0000     2S,"c(-73.8516308223066, 40.6991314383951)"
4033220156,345000,403322015600000002-0000     4E,"c(-73.8335858049475, 40.7051928669584)"
4078440002,250000,407844000200000019-5000      A,"c(-73.7439990984253, 40.7372618720672)"
1015550023,650000,101555002300000001-0000     8F,"c(-73.9467014930952, 40.7811837062279)"
5035460001,240000,503546000100000004-0000    79D,"c(-74.0976108556768, 40.5846894180691)"
4077320150,250000,407732015000000014-0000   146D,"c(-73.7612725213745, 40.7382840957802)"
3074230011,250000,307423001100000004-0000     2C,"c(-73.938980012222, 40.5928629258896)"
2059010001,355000,205901000100000001-0000    18M,"c(-73.9145372157692, 40.8854677126167)"
4019070001,320000,401907000100000002-0000     6B,"c(-73.8620216182307, 40.7383244663079)"
1013340041,335000,101334004100000001-0000   2411,"c(-73.9714800907511, 40.7492114132245)"
4032360035,425000,403236003500000001-0000     5E,"c(-73.8492554856544, 40.7221531757117)"
2032260053,165000,203226005300000009-0000     6H,"c(-73.9077536434926, 40.864591539613)"
1013280030,425000,101328003000000001-0000     2G,"c(-73.9670495652647, 40.758098823455)"
4031700001,310000,403170000100000001-0000    118,"c(-73.8536360248987, 40.7259147929921)"
1013680025,1550000,101368002500000001-0000    18D,"c(-73.9611929389599, 40.7572188102674)"
3061210003,465000,306121000300000001-0000     4E,"c(-74.0352717773794, 40.6166745278099)"
1018360036,1455000,101836003600000001-0000    12B,"c(-73.9627790109546, 40.7948218060561)"
4020860050,280000,402086005000000004-0000     9C,"c(-73.8598809796084, 40.7322696134384)"
3088080059,355000,308808005900000001-0000    308,"c(-73.9316863587374, 40.584782264496)"
1010490001,800000,101049000100000002-0000    4RN,"c(-73.9841248570306, 40.7689490314921)"
4021400021,330000,402140002100000001-0000    619,"c(-73.8472125476751, 40.7240715132854)"
3074230011,250000,307423001100000003-0000     1A,"c(-73.938980012222, 40.5928629258896)"
1011380001,430000,101138000100000001-0000    15M,"c(-73.983759425779, 40.7748586948902)"
4105380070,190000,410538007000000001-0000    B57,"c(-73.7622877856304, 40.7215069467837)"
3069330055,400000,306933005500000001-0000    13G,"c(-73.9916166814721, 40.5893031258185)"
2057230042,161556,205723004200000001-0000     3B,"c(-73.9176799402633, 40.8794181155076)"
2059010001,355000,205901000100000001-0000    22T,"c(-73.9145372157692, 40.8854677126167)"
1014270018,570000,101427001800000001-0000     5E,"c(-73.9587390102857, 40.769273049662)"
4014740012,430000,401474001200000002-0000   001F,"c(-73.8797559186061, 40.7491560508466)"
1013110065,900000,101311006500000001-0000    20B,"c(-73.970226519989, 40.7610785004723)"
1009160055,380000,100916005500000001-0000     6G,"c(-73.976652611438, 40.7465404910119)"
4050020042,280000,405002004200000002-0000     7J,"c(-73.8256345252182, 40.7650273442211)"
