boro,NEIGHBORHOOD,decile,COOPUNITKEY,GROSSCON,prediction,geometry
5,5150,4,504640002200000001-0000    12A,228000,241138.809940922,"c(-74.1447704339718, 40.5523652208384)"
5,5031,4,502833003100000001-0000     4L,217500,226566.143243618,"c(-74.0602348645773, 40.6110623447586)"
5,5160,4,500597012000000004-8000      B,220000,195830.033755157,"c(-74.0948964780467, 40.6188385739308)"
5,5420,4,500101053700000002-0000     1D,220000,204122.718310985,"c(-74.1009830887947, 40.6346121546424)"
5,5230,4,500018009900000001-0000    B2G,229000,228448.124109188,"c(-74.0799943092564, 40.641423993259)"
5,5070,4,500327001500000001-0000     9B,220000,243340.823422826,"c(-74.1098306183756, 40.62011419375)"
5,5130,4,503546000100000004-0000    69D,222000,212471.827743457,"c(-74.0976108556768, 40.5846894180691)"
5,5130,4,503546000100000003-0000    92E,215000,215567.323843122,"c(-74.0976108556768, 40.5846894180691)"
5,5130,4,503546000100000004-0000    81B,220000,207282.638474004,"c(-74.0976108556768, 40.5846894180691)"
5,5160,4,500593068000000001-9000      B,215000,237331.658602768,"c(-74.09578998563, 40.6195813651944)"
5,5190,4,500138011900000004-0000    12A,229000,228380.014258703,"c(-74.1086386174652, 40.6409115000826)"
5,5130,4,503546000100000003-0000    90F,215000,215567.323843122,"c(-74.0976108556768, 40.5846894180691)"
5,5230,4,500003000100000001-0000     2A,215000,246121.838079639,"c(-74.0852714424338, 40.6479163547876)"
5,5230,4,500018009900000001-0000    B6G,215000,231063.213170548,"c(-74.0799943092564, 40.641423993259)"
5,5151,4,505090003500000005-0000     2E,224000,243143.081403373,"c(-74.1387472366125, 40.5558892493505)"
5,5031,4,502833003100000001-0000     5O,215000,242613.452603915,"c(-74.0602348645773, 40.6110623447586)"
5,5070,4,500327001500000001-0000    10P,227500,233298.386386906,"c(-74.1098306183756, 40.62011419375)"
