"","boro","NEIGHBORHOOD","decile","COOPUNITKEY","GROSSCON","prediction","geometry"
"1",4,4400,7,"400341000100000001-0000     3J",375000,393966.347198739,c(-73.9309441824719, 40.7574244366893)
"2",4,4040,10,"400557000300000010-0000    11B",510000,469540.033706635,c(-73.9317116636673, 40.7626039028715)
"3",4,4100,1,"409713016300000001-0000   007B",180000,195299.154692599,c(-73.8166305006502, 40.710028923747)
"4",1,1220,6,"100885000100000001-0000     4A",840000,919003.551747174,c(-73.9832393263722, 40.743974811784)
"5",1,1150,1,"100732001600000001-0000     3P",315000,350343.380712545,c(-73.9977433849112, 40.7542942932393)
"6",5,5231,7,"500010001900000001-0000     2U",275000,242968.005761888,c(-74.0787823165954, 40.6448552735597)
"7",1,1110,8,"100898003900000001-0000     1E",1700000,1814156.1377793,c(-73.9841143718044, 40.7350523907898)
"8",1,1282,8,"101889003600000001-0000     3D",1350000,1268520.33463201,c(-73.9724317016266, 40.7988540012859)
"9",1,1280,9,"101148005600000001-0000     5A",2341500,2517529.91065532,c(-73.9786404308629, 40.7813083093714)
"10",1,1201,7,"101338000500000001-0000    21A",1160000,954220.285387467,c(-73.9699269796242, 40.7517689843256)
"11",3,3230,8,"305071003400000001-0000      3",695000,652809.873104513,c(-73.9697137028206, 40.6472187479043)
"12",1,1110,9,"100874005600000001-0000      4",2225000,2239311.26101801,c(-73.9860400479022, 40.7365932306468)
"13",4,4470,5,"403157010100000001-0000    A17",320000,323944.976799174,c(-73.8566242455495, 40.725688268379)
"14",4,4310,1,"411446001200000004-0000     2A",187000,198306.99079665,c(-73.8493705181512, 40.6659728450882)
"15",2,2190,1,"203250004000000001-0000     9G",120000,125940.447094094,c(-73.9011102111311, 40.8728975384952)
"16",1,1270,2,"101458000500000001-0000     6G",440500,430764.887994888,c(-73.9593628970187, 40.7620302678099)
"17",1,1271,7,"101522001200000001-0000     7A",1275000,1234244.65074174,c(-73.952716489762, 40.7843418491241)
"18",2,2300,4,"205873104200000001-0000     7I",215000,222362.933320749,c(-73.8969290288073, 40.9085708459862)
"19",1,1110,5,"100877007400000001-0000     2H",805000,854619.581141634,c(-73.98573982653, 40.7388301636605)
"20",1,1200,2,"101312002800000001-0000    18F",462000,400166.056390207,c(-73.9680535857936, 40.7607793824496)
"21",4,4040,7,"400557000300000011-0000     8D",355000,410956.117692705,c(-73.9317116636673, 40.7626039028715)
"22",1,1271,8,"101499002500000001-0000    D06",1535000,1645150.43798964,c(-73.9574382519261, 40.7814092194549)
"23",2,2200,6,"202472001100000001-0000     4E",287500,331139.188463086,c(-73.920666719529, 40.8319734392341)
"24",4,4320,10,"401272000100000001-0000     4D",570000,529997.990546587,c(-73.893645095553, 40.7505864526671)
"25",1,1121,5,"100626001200000001-0000     2H",750000,805081.640773462,c(-74.0058821651382, 40.7384444969545)
"26",3,3020,4,"306089004400000001-0000     3L",338000,345094.28448654,c(-74.027501732435, 40.6176367775566)
"27",3,3201,6,"300086001100000003-0000    14E",490000,514199.014494883,c(-73.9878532443117, 40.6978012627673)
"28",4,4220,9,"402154000100000010-0000     2E",433010,407536.428902751,c(-73.8485149211462, 40.7290462159917)
"29",3,3420,10,"301073004100000001-0000    11C",2750000,2966176.85556998,c(-73.9725468918665, 40.6704011878272)
"30",1,1270,9,"101483002800000001-0000    14A",1900000,1512097.79192644,c(-73.9519808349841, 40.7658135696472)
"31",4,4440,7,"40775400030000003-98000  191B2",360000,358368.827440674,c(-73.7527434776046, 40.7387611497005)
"32",1,1271,8,"101512006200000001-0000     3C",1385000,1495388.99072277,c(-73.957390555531, 40.7782979001801)
"33",1,1270,5,"101451002300000001-0000     9M",735000,898253.036064218,c(-73.9543784542285, 40.7707707639187)
"34",3,3420,10,"301089004800000001-0000     2R",1585322,1593397.53644904,c(-73.9768707709963, 40.6657247463456)
"35",3,3230,8,"306690004500000001-0000     5B",715000,715965.784656951,c(-73.9609223842506, 40.6311757135362)
"36",4,4050,3,"405958010000000002-0000     4E",262000,252891.200155628,c(-73.774863980502, 40.7815730330188)
"37",1,1220,2,"100886003100000001-0000     1A",480000,522342.939945448,c(-73.9809285330435, 40.7438574250609)
"38",4,4590,9,"401340000100000001-0000    F24",435000,421271.484415182,c(-73.9018851758275, 40.7416921558392)
"39",1,1270,9,"101397006900000001-0000   1402",1800000,1770499.83886219,c(-73.9676340285185, 40.765022379549)
"40",1,1202,1,"101035000700000001-0000    1FW",394000,438057.25581268,c(-73.9908927363102, 40.7596413368938)
"41",2,2300,4,"205796013500000001-0000     3J",205000,215204.163094445,c(-73.9089912720803, 40.8881723537534)
"42",1,1270,10,"101413000100000001-0000     8B",7000000,7216820.46038952,c(-73.9603843536443, 40.774917828262)
"43",3,3400,6,"305417005800000001-0000     2E",499750,424381.107579939,c(-73.9709184966734, 40.6330347707888)
"44",4,4390,3,"40835300010000001-33000    450",256500,245621.87454492,c(-73.7290960118639, 40.7580633329121)
"45",1,1271,7,"101565002900000001-0000    20H",1235000,1220651.9609156,c(-73.9478840306659, 40.7758797850368)
"46",1,1201,1,"101323003600000001-0000    10D",348392,605035.977321129,c(-73.9697574638724, 40.7551589793385)
"47",4,4100,9,"409738011400000001-0000    307",470000,439410.71385058,c(-73.8134294015683, 40.713913030519)
"48",3,3480,2,"307422104200000001-0000     4H",269000,262245.889009762,c(-73.9411029404766, 40.5925135721766)
"49",4,4220,10,"402133001600000001-0000  K020D",975000,442567.192699777,c(-73.8508390529811, 40.7283478634108)
"50",4,4140,7,"401948000100000001-0000     5H",380000,377847.577489763,c(-73.8584497371183, 40.7363652735636)
"51",4,4470,9,"402093024500000005-0000     5H",480000,385967.716783165,c(-73.8592631495645, 40.7336443755107)
"52",4,4320,7,"401265005800000004-0000     5B",380000,335699.82754603,c(-73.8883455851847, 40.7526780380109)
"53",3,3020,3,"305770003600000001-0000     3E",331000,338018.409278049,c(-74.0126255417965, 40.6296124235399)
"54",1,1270,7,"101425003500000001-0000     2B",1050000,1141288.95565444,c(-73.960011872973, 40.7683547980961)
"55",2,2300,7,"205909097000000001-0000   A902",295000,293292.824696461,c(-73.9090838059461, 40.8923666977092)
"56",1,1050,4,"100117000100000002-0000     4D",600000,644904.510556914,c(-73.9998514726025, 40.7125282427346)
"57",3,3090,4,"300238002400000001-0000     5B",370000,423043.103825122,c(-73.992274040998, 40.6961284168191)
"58",4,4240,3,"408489000100000001-0000     7Y",265000,298264.521298121,c(-73.7142119283782, 40.7567797984328)
"59",1,1201,6,"101368003300000001-0000    10C",865000,1047354.21952711,c(-73.9617001222987, 40.7574523113466)
"60",4,4210,6,"405193000900000002-0000     1B",345000,355349.258460343,c(-73.8204330882447, 40.7539953086005)
"61",1,1201,3,"101367000100000001-0000    26K",505000,592775.265983908,c(-73.9631217477455, 40.7570988822293)
"62",3,3513,5,"302398001500000001-0000      3",435000,447368.00851181,c(-73.9535378671326, 40.7111092308563)
"63",1,1271,1,"101579004400000001-0000     2B",310000,296207.613367478,c(-73.9478674750807, 40.7734350796371)
"64",4,4040,6,"400534001500000001-0000     4F",333000,373735.312593247,c(-73.9310718679273, 40.7681990956757)
"65",1,1201,3,"101338000500000001-0000    18G",560000,732525.258626304,c(-73.9699269796242, 40.7517689843256)
"66",5,5190,8,"500138011900000002-0000    22B",299000,255823.58474735,c(-74.1086386174652, 40.6409115000826)
"67",4,4360,3,"409860004000000001-0000    304",260000,247005.307319724,c(-73.7956956582022, 40.7148251162707)
"68",1,1282,7,"101874005800000001-0000     2B",1150000,1097847.12185235,c(-73.969515047449, 40.7992660246224)
"69",1,1270,2,"101428001700000001-0000     1G",417500,424468.607415618,c(-73.9583560180008, 40.7699418815408)
"70",1,1271,9,"101514000800000001-0000    20D",2100000,2254692.4479814,c(-73.9566227640344, 40.7794844129062)
"71",4,4060,8,"404602012000000029-0000     3D",415750,389023.597525421,c(-73.7963384282663, 40.7918616166378)
"72",1,1271,1,"101525001300000001-0000    11E",325000,329355.431053361,c(-73.9559438784855, 40.7740107357193)
"73",4,4220,2,"402186008800000020-0000     3B",235000,261647.463096282,c(-73.8445873037938, 40.7309819626152)
"74",1,1140,2,"102240002900000001-0000     6K",405000,442999.945921082,c(-73.9229053370555, 40.8683022723832)
"75",3,3480,3,"308791010400000003-0000     4J",300000,282562.948830647,c(-73.9403070812936, 40.5863740039536)
"76",1,1200,1,"101304002900000001-0000     8F",325000,330131.882502516,c(-73.9717738688169, 40.7556786406004)
"77",1,1120,9,"100545001000000001-0000      3",2500000,2479117.09319888,c(-73.9934090996449, 40.728871319469)
"78",1,1201,1,"101334002200000001-0000    206",252500,278118.730280552,c(-73.970510856595, 40.7486411257224)
"79",4,4220,8,"403292002800000001-0000     4L",395000,323704.20434132,c(-73.8395248246803, 40.7185752976246)
"80",4,4310,4,"411461000200000022-1000     88",275000,284432.197332305,c(-73.8517286527138, 40.6636833328321)
"81",1,1201,7,"101364000500000001-0000   15CC",1150000,1227684.4115854,c(-73.9642732328611, 40.7551225827802)
"82",1,1271,4,"101499002500000001-0000    A05",675000,816188.622454476,c(-73.9574382519261, 40.7814092194549)
"83",4,4320,7,"401440000100000003-0000     1L",365000,328008.288624164,c(-73.8754341672878, 40.7556577075962)
"84",1,1202,8,"101030002900000001-0000    07C",1300000,916580.26439032,c(-73.9797371614472, 40.7666774312235)
"85",3,3090,6,"300238006500000001-0000     9A",560000,517293.186174989,c(-73.9921062471539, 40.6955522550626)
"86",1,1270,2,"101472001400000001-0000     7G",445000,504732.670147864,c(-73.9522223415302, 40.7706734056689)
"87",1,1220,3,"100893004100000001-0000    05G",565000,661137.61414356,c(-73.976863552401, 40.7480943446224)
"88",1,1281,8,"101224002900000001-0000    18A",1350000,1308250.68180999,c(-73.9690396609464, 40.7914095647966)
"89",1,1271,10,"101500002000000001-0000     4C",3317000,4299775.26334028,c(-73.9573835293937, 40.7822075992142)
"90",4,4220,3,"402162012200000001-0000   C700",270000,308322.780159254,c(-73.8474596424591, 40.7377499747607)
"91",4,4140,1,"401727000800000005-0000     2H",185000,195161.750198601,c(-73.8562352648648, 40.7576018057688)
