boro,borodecile,predicted,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity,actual
1,All,unlogpred,10011,0.9977,0.972654275,0.979351725,7.130948496,1.013522472,-0.010689262,1.018511119,0.420257559,0.411782182,-0.008475377,0.979832898,TRUE,TRUE,TRUE,jitterg
2,All,unlogpred,822,0.9793,0.962731593,0.793680195,8.681096933,1.014492175,-0.041713694,1.097345573,0.245935902,0.221093505,-0.024842397,0.898988326,TRUE,TRUE,TRUE,jitterg
3,All,unlogpred,5271,0.9966,0.964984734,0.972401948,6.317268072,1.012891609,-0.016779488,1.022193901,0.314001729,0.303409532,-0.010592198,0.966267072,TRUE,TRUE,TRUE,jitterg
4,All,unlogpred,3137,0.9923,0.964764097,0.95127803,5.529900436,1.007837893,-0.02640049,1.035131251,0.218658655,0.20841813,-0.010240524,0.953166617,TRUE,TRUE,TRUE,jitterg
5,All,unlogpred,257,0.978,0.837357434,0.881020415,8.012990236,1.015893935,-0.049567299,1.050536404,0.183442771,0.162816308,-0.020626463,0.887559142,TRUE,TRUE,TRUE,jitterg
1,1,unlogpred,1002,1.0196,0.48700253,0.6531716,6.53228538,1.001446328,0.189334887,0.886011893,0.067281463,0.06097457,-0.006306893,0.906261053,TRUE,TRUE,TRUE,jitterg
1,2,unlogpred,1001,1.019,0.283713309,0.366933019,6.569321476,1.000159967,0.495785885,0.642120586,0.036571916,0.035032034,-0.001539882,0.957894414,TRUE,TRUE,TRUE,jitterg
1,3,unlogpred,1001,1.0158,0.168895776,0.334460082,7.067183321,0.999729197,0.780155485,0.581785235,0.034100656,0.036790828,0.002690172,1.078889159,TRUE,TRUE,TRUE,jitterg
1,4,unlogpred,1001,0.9994,0.228824708,0.261017253,6.956483349,1.00025614,0.567582959,0.578045602,0.032672323,0.029955902,-0.002716421,0.916858659,TRUE,TRUE,TRUE,jitterg
1,5,unlogpred,1001,0.9887,0.229160177,0.262266399,6.788941707,1.000159287,0.592998068,0.560177542,0.030696561,0.028902651,-0.001793911,0.941559886,TRUE,TRUE,TRUE,jitterg
1,6,unlogpred,1001,0.989,0.284509795,0.35071202,7.179337911,0.999764466,0.580275213,0.566070851,0.035025375,0.037353147,0.002327772,1.066459592,TRUE,TRUE,TRUE,jitterg
1,7,unlogpred,1001,0.9953,0.308366663,0.346332028,7.065877531,1.000153299,0.473160323,0.607555534,0.037801289,0.036604982,-0.001196307,0.968352746,TRUE,TRUE,TRUE,jitterg
1,8,unlogpred,1001,0.9842,0.336599836,0.42229553,6.790296105,1.0002355,0.419093131,0.683314291,0.043069097,0.0413337,-0.001735397,0.959706676,TRUE,TRUE,TRUE,jitterg
1,9,unlogpred,1001,0.9849,0.522716905,0.580586712,7.554943282,0.999726605,0.274998321,0.753734551,0.063355009,0.064858561,0.001503552,1.023732172,TRUE,TRUE,TRUE,jitterg
