nbhd,decile,cutoff,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity,boro
All,All,NA,unlogpred,grosscon,19498,0.9959,0.977195341,0.98392466,6.73195774,1.012087404,-0.006345308,1.009073626,0.453939291,0.446939975,-0.006999316,0.984580942,TRUE,TRUE,TRUE,NA
1010,1,"$680,152 ",unlogpred,grosscon,9,1.0485,0.657820193,0.871111111,8.354752826,0.995481903,0.614712262,0.448309421,0.037700849,0.077035838,0.039334989,2.043344928,TRUE,TRUE,TRUE,1
1010,2,"$741,000 ",unlogpred,grosscon,8,1.0304,0.630373831,0.723034997,2.524343505,1.000273595,0.104466657,0.862635066,0.031473343,0.031281295,-0.000192047,0.993898099,TRUE,FALSE,TRUE,1
1010,3,"$1,009,600 ",unlogpred,grosscon,10,0.9944,0.157877088,0.033259424,5.184266955,1.001441285,0.217702745,0.973971203,0.029240539,0.009870408,-0.019370131,0.337559037,TRUE,TRUE,TRUE,1
1010,4,"$1,095,000 ",unlogpred,grosscon,12,0.9877,0.380276304,0.107620138,7.666349593,0.998859565,0.594279119,0.451434704,0.033537276,0.035669698,0.002132422,1.063583641,TRUE,TRUE,TRUE,1
1010,5,"$1,185,000 ",unlogpred,grosscon,5,0.9484,0.602645349,0.64,3.595589082,0.999444753,0.374272558,0.612295679,0.024949153,0.035179545,0.010230393,1.410049699,TRUE,FALSE,TRUE,1
1010,6,"$1,207,000 ",unlogpred,grosscon,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1010,7,"$1,276,000 ",unlogpred,grosscon,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1010,8,"$1,432,000 ",unlogpred,grosscon,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1030,1,"$965,467 ",unlogpred,grosscon,15,1.0618,0.787825469,0.68626001,4.954739083,0.997893067,0.234242797,0.734049178,0.04944041,0.061529128,0.012088718,1.244510875,TRUE,FALSE,TRUE,1
1030,2,"$1,094,771 ",unlogpred,grosscon,39,1.0129,0.307220585,0.3756646,6.874501072,1.000204349,0.446006555,0.627646467,0.034991742,0.032340109,-0.002651633,0.924221178,TRUE,TRUE,TRUE,1
1030,3,"$1,431,000 ",unlogpred,grosscon,82,1.0036,0.401589027,0.368254599,4.626385341,1.000031599,0.363428512,0.696048971,0.0278209,0.027002653,-0.000818248,0.970588745,TRUE,FALSE,TRUE,1
1030,4,"$1,800,000 ",unlogpred,grosscon,51,0.9868,0.429844057,0.49084658,6.919323156,0.998592101,0.551264797,0.54910193,0.036507271,0.048674867,0.012167596,1.333292388,TRUE,TRUE,TRUE,1
1030,5,"$2,175,000 ",unlogpred,grosscon,63,1.0142,0.292910531,0.329400158,5.24048129,1.000444032,0.405783047,0.628801801,0.031223522,0.026386715,-0.004836807,0.845090924,TRUE,TRUE,TRUE,1
1030,6,"$2,534,000 ",unlogpred,grosscon,57,0.9911,0.373946542,0.493450161,6.704332278,0.99899696,0.642687575,0.504307476,0.03040155,0.041406642,0.011005093,1.361991184,TRUE,TRUE,TRUE,1
1030,7,"$3,309,950 ",unlogpred,grosscon,108,0.9908,0.256747632,0.252705177,6.37822383,1.000987379,0.356018172,0.713372345,0.035804856,0.027169768,-0.008635089,0.758829116,TRUE,TRUE,TRUE,1
1030,8,"$4,498,467 ",unlogpred,grosscon,87,0.9773,0.386737458,0.416659101,7.200962825,0.999493847,0.457896382,0.633551083,0.04127189,0.04503702,0.00376513,1.091227464,TRUE,TRUE,TRUE,1
1030,9,"$6,190,000 ",unlogpred,grosscon,108,1.0218,0.590096058,0.628223819,7.184571205,0.998702729,0.277621204,0.751889958,0.063944109,0.07081489,0.006870781,1.107449786,TRUE,TRUE,TRUE,1
1030,10,"$14,575,000 ",unlogpred,grosscon,122,0.9621,0.891903921,0.871656092,8.272281995,1.009948558,-0.020316139,1.040042849,0.189855818,0.172779802,-0.017076015,0.910057982,TRUE,TRUE,TRUE,1
1040,1,"$550,600 ",unlogpred,grosscon,16,1.0289,0.553982845,0.519247405,7.875105952,1.002408863,0.082324989,0.954872764,0.071008818,0.056327728,-0.01468109,0.793249768,TRUE,TRUE,TRUE,1
1040,2,"$679,200 ",unlogpred,grosscon,13,1.026,0.324178966,0.223145604,4.867275351,1.001404296,0.129340098,1.008763802,0.03561841,0.020091043,-0.015527367,0.564063447,TRUE,FALSE,TRUE,1
1040,3,"$704,700 ",unlogpred,grosscon,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1040,4,"$1,186,000 ",unlogpred,grosscon,5,1.0244,0.586725446,0.49,6.460242301,0.998240076,0.906950745,0.202185861,0.015057283,0.053970179,0.038912896,3.584323867,TRUE,TRUE,TRUE,1
