grosscondecile,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity,boro
All,unlogpred,grosscon,10011,1.0136,0.972501175,0.979203067,7.229218564,1.012964514,-0.009661995,1.017288507,0.42025797,0.412031621,-0.00822635,0.980425476,TRUE,TRUE,TRUE,1
1,unlogpred,grosscon,1002,1.0296,0.478151371,0.641296725,6.75469527,1.001321441,0.20704787,0.856122397,0.067283562,0.061647596,-0.005635966,0.916235619,TRUE,TRUE,TRUE,1
2,unlogpred,grosscon,1001,1.0365,0.281762798,0.357051735,6.786236813,1.000096435,0.510404813,0.625357769,0.03658012,0.035490117,-0.001090003,0.970202324,TRUE,TRUE,TRUE,1
3,unlogpred,grosscon,1001,1.0308,0.17183276,0.324147872,7.191272212,0.999731267,0.772845707,0.577944665,0.03407402,0.036610391,0.002536371,1.074437105,TRUE,TRUE,TRUE,1
4,unlogpred,grosscon,1001,1.0179,0.221127706,0.250179363,7.098212508,1.000281527,0.576542966,0.571557227,0.032650412,0.029784192,-0.00286622,0.912214885,TRUE,TRUE,TRUE,1
5,unlogpred,grosscon,1001,1.0054,0.239042499,0.267867719,6.797331896,1.000089197,0.593487697,0.56507582,0.030683593,0.029722437,-0.000961156,0.968675259,TRUE,TRUE,TRUE,1
6,unlogpred,grosscon,1001,1.0061,0.275003762,0.329934078,7.446498746,0.999794057,0.589354254,0.548893395,0.035024793,0.036924254,0.001899461,1.054231902,TRUE,TRUE,TRUE,1
7,unlogpred,grosscon,1001,1.0126,0.305611197,0.337744665,7.050441205,1.000219772,0.465340913,0.593998891,0.037798912,0.03599927,-0.001799642,0.95238905,TRUE,TRUE,TRUE,1
8,unlogpred,grosscon,1001,1.0007,0.344990236,0.43100747,6.766118943,1.000204827,0.413176255,0.688979143,0.043064286,0.041491727,-0.001572559,0.963483464,TRUE,TRUE,TRUE,1
9,unlogpred,grosscon,1001,1,0.523092795,0.580269422,7.530323781,0.999847671,0.268188346,0.757405336,0.063355817,0.064127527,0.00077171,1.012180568,TRUE,TRUE,TRUE,1
10,unlogpred,grosscon,1001,0.994,0.87639504,0.860203204,7.824606757,1.002432397,0.027975167,0.971851616,0.177459997,0.172988183,-0.004471814,0.974801003,TRUE,TRUE,TRUE,1
All,unlogpred,grosscon,822,0.8904,0.953932153,0.766305227,9.476406875,1.017794022,-0.049818499,1.110814898,0.245984482,0.216820746,-0.029163736,0.881440747,FALSE,TRUE,TRUE,2
1,unlogpred,grosscon,83,1.0348,0.014068931,0.000738175,10.09232241,1.004643825,0.569671265,0.65157087,0.040535471,0.007787506,-0.032747965,0.192115832,TRUE,TRUE,TRUE,2
2,unlogpred,grosscon,83,0.954,0.00446938,0.000584379,6.507921722,1.000332152,1.192662783,0.284018316,0.011596766,0.000449021,-0.011147745,0.038719513,TRUE,TRUE,TRUE,2
3,unlogpred,grosscon,82,0.9267,0.002618809,0.000123646,5.848264505,1.000241904,1.365107844,0.218316609,0.007321003,-0.004943672,-0.012264675,-0.675272391,TRUE,TRUE,TRUE,2
4,unlogpred,grosscon,82,0.8863,0.000201708,0.008258248,5.06715226,1.000269564,1.347911047,0.249919546,0.008622953,-0.001069759,-0.009692713,-0.124059481,FALSE,TRUE,TRUE,2
5,unlogpred,grosscon,82,0.8911,0.006439799,0.020114937,7.279015556,1.000330488,1.233155994,0.271389291,0.012063866,0.004730235,-0.007333631,0.392099446,FALSE,TRUE,TRUE,2
6,unlogpred,grosscon,82,0.8636,0.054824899,0.097960453,7.970201304,1.000536413,0.942477873,0.381316616,0.022808246,0.015501081,-0.007307165,0.67962618,FALSE,TRUE,TRUE,2
7,unlogpred,grosscon,82,0.8182,0.005534359,0.000104536,8.273658239,1.001088014,1.247671953,0.314138585,0.016727027,-0.004558588,-0.021285615,-0.272528308,FALSE,TRUE,TRUE,2
8,unlogpred,grosscon,82,0.8264,0.022235819,0.048716688,8.659763758,1.000156107,1.214728887,0.229952163,0.013678609,0.012913703,-0.000764906,0.94408016,FALSE,TRUE,TRUE,2
9,unlogpred,grosscon,82,0.8474,0.400287304,0.426203813,9.032981564,0.999354853,0.457337362,0.597259671,0.050475507,0.05555744,0.005081934,1.10068118,FALSE,TRUE,TRUE,2
