"grosscondecile","predicted","actual","n","median_sales_ratio","r","spearmans","cod","prd","prb","clapp","gini","ci","ki","mki","accuracy","uniformity","vertical_equity","boro","cutoff"
"All","unlogpred","grosscon",10011,1.0136,0.98615474207442,0.989546899752184,7.22921856400458,1.01296451384865,-0.00966199547762114,1.01728850725639,0.420257970080615,0.412031620521787,-0.00822634955882817,0.980425476387158,TRUE,TRUE,TRUE,1,""
"1","unlogpred","grosscon",1002,1.0296,0.47815137129728,0.641296725229933,6.75469526996884,1.00132144065589,0.207047869898523,0.856122397153415,0.0672835617447968,0.0616475958493549,-0.00563596589544198,0.916235619083025,TRUE,TRUE,TRUE,1,"$701,342"
"2","unlogpred","grosscon",1001,1.0365,0.28176279843061,0.357051735095059,6.78623681264879,1.00009643527055,0.510404813220139,0.625357768950501,0.0365801200487724,0.0354901174711389,-0.0010900025776335,0.97020232366159,TRUE,TRUE,TRUE,1,"$880,000"
"3","unlogpred","grosscon",1001,1.0308,0.17183276008943,0.324147871660968,7.19127221209291,0.999731266775974,0.772845707320099,0.577944665483282,0.0340740196470454,0.0366103910185981,0.00253637137155271,1.07443710480377,TRUE,TRUE,TRUE,1,"$1,094,000"
"4","unlogpred","grosscon",1001,1.0179,0.221127706054089,0.250179363171041,7.09821250814711,1.00028152680841,0.576542965927106,0.571557226707121,0.0326504118016589,0.029784191662837,-0.00286622013882183,0.912214885489554,TRUE,TRUE,TRUE,1,"$1,325,000"
"5","unlogpred","grosscon",1001,1.0054,0.239042498520719,0.267867718902374,6.79733189552491,1.000089197408,0.593487697404933,0.565075819597517,0.0306835929548263,0.0297224373374923,-0.000961155617333943,0.968675258508709,TRUE,TRUE,TRUE,1,"$1,600,000"
"6","unlogpred","grosscon",1001,1.0061,0.275003761667617,0.32993407759709,7.44649874620099,0.999794057280812,0.58935425435224,0.548893394692877,0.0350247932654451,0.0369242544213478,0.00189946115590267,1.05423190199888,TRUE,TRUE,TRUE,1,"$1,975,000"
"7","unlogpred","grosscon",1001,1.0126,0.305611197206803,0.337744664662417,7.05044120478804,1.00021977196101,0.465340913201315,0.593998891182583,0.0377989122647415,0.0359992701495972,-0.00179964211514431,0.952389050178489,TRUE,TRUE,TRUE,1,"$2,495,000"
"8","unlogpred","grosscon",1001,1.0007,0.344990235810812,0.431007469908784,6.76611894264956,1.00020482747223,0.41317625483689,0.688979143272943,0.043064285639515,0.0414917271137317,-0.00157255852578331,0.963483464257436,TRUE,TRUE,TRUE,1,"$3,250,000"
"9","unlogpred","grosscon",1001,1,0.523092794839883,0.580269422162527,7.53032378085849,0.999847671036995,0.268188346100524,0.757405336302339,0.0633558171021686,0.064127526969773,0.000771709867604428,1.01218056846082,TRUE,TRUE,TRUE,1,"$4,775,000"
