"nbhd","decile","cutoff","predicted","actual","n","median_sales_ratio","r","spearmans","cod","prd","prb","clapp","gini","ci","ki","mki","accuracy","uniformity","vertical_equity","boro"
"All","All",NA,"unlogpred","grosscon",9748,0.999,0.976206641994917,0.98227654015038,6.89243825385291,1.01663416934366,-0.00852958205889485,1.01092165865487,0.455828540409723,0.44601742061278,-0.00981111979694338,0.978476293327038,TRUE,TRUE,TRUE,NA
"1010","1","$680,152","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1010","2","$741,000","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1010","3","$1,009,600","unlogpred","grosscon",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1010","4","$1,095,000","unlogpred","grosscon",8,0.9885,0.788961173726663,0.83855981416957,3.01675486952599,0.999124224476371,0.272077257022252,0.708993629786066,0.0296281433921883,0.0362770139450002,0.00664887055281183,1.22441063771025,TRUE,FALSE,TRUE,"1"
"1010","5","$1,185,000","unlogpred","grosscon",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1010","6","$1,207,000","unlogpred","grosscon",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1010","7","$1,276,000","unlogpred","grosscon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1030","1","$965,467","unlogpred","grosscon",9,1.0941,0.609305948441169,0.5546918767507,5.98604665780707,0.998320296924863,0.285581243800402,0.858578767033459,0.04866321564978,0.0435521038468839,-0.00511111180289604,0.894969706899771,TRUE,TRUE,TRUE,"1"
"1030","2","$1,094,771","unlogpred","grosscon",16,1.083,0.242317344803864,0.217961565157036,8.27123442650628,0.999849009071056,0.626131443750981,0.47684775213415,0.0291182303734832,0.0289388370064494,-0.000179393367033764,0.993839139098332,TRUE,TRUE,TRUE,"1"
"1030","3","$1,431,000","unlogpred","grosscon",40,1.0073,0.476352775437502,0.392134396975209,5.06572208262902,0.999390040542955,0.441112702130487,0.689151350998215,0.02916860141498,0.0324847279790095,0.00331612656402953,1.11368822648886,TRUE,TRUE,TRUE,"1"
"1030","4","$1,800,000","unlogpred","grosscon",33,0.9962,0.409771478946395,0.515231904275045,6.14640969093538,0.999842981666704,0.3861337582854,0.725153877493022,0.0385278672416217,0.0392426554021535,0.000714788160531755,1.01855249749614,TRUE,TRUE,TRUE,"1"
"1030","5","$2,175,000","unlogpred","grosscon",27,1.052,0.306338215727727,0.2784335145021,5.69851630236097,1.0001811379801,0.457528717017557,0.498749738164023,0.0283840106553594,0.0275438952944169,-0.0008401153609425,0.970401809274128,TRUE,TRUE,TRUE,"1"
"1030","6","$2,534,000","unlogpred","grosscon",35,0.9899,0.424138773868537,0.396175588237259,6.68765630456698,0.999320430876633,0.463265106202952,0.5737241066801,0.0350118217474291,0.0397110388768774,0.00469921712944828,1.1342180125144,TRUE,TRUE,TRUE,"1"
"1030","7","$3,309,950","unlogpred","grosscon",53,0.9988,0.0486070433949617,0.0992741871319627,7.53083551149982,1.00257522521749,0.550558085540338,0.725049039730795,0.0360831847741403,0.0123816461140402,-0.0237015386601001,0.343141720763899,TRUE,TRUE,TRUE,"1"
"1030","8","$4,498,467","unlogpred","grosscon",45,0.9906,0.428274636318119,0.487253151426783,6.55033374142271,0.999813759437883,0.360489076298018,0.729647707499814,0.0474781287586483,0.0481121740456501,0.00063404528700188,1.01335447086015,TRUE,TRUE,TRUE,"1"
"1030","9","$6,190,000","unlogpred","grosscon",49,1.0045,0.521805336423876,0.550985589882573,8.45804361490004,0.998439129435124,0.351820474627314,0.661630744038067,0.0610233850093026,0.0708424694441639,0.00981908443486123,1.16090691188901,TRUE,TRUE,TRUE,"1"
"1030","10","$14,575,000","unlogpred","grosscon",66,0.981,0.883480312004143,0.890706298033571,8.98168470353972,1.01477041424636,-0.040955662215747,1.095990849403,0.196883553910625,0.172384366911832,-0.024499186998793,0.875565091587516,TRUE,TRUE,TRUE,"1"
"1040","1","$550,600","unlogpred","grosscon",12,0.9851,0.814089510089787,0.878086948017018,4.43987956491577,1.00331382136692,-0.0717161007983097,1.09058497044578,0.0749291851019501,0.0620640339094255,-0.0128651511925246,0.828302534252575,TRUE,FALSE,TRUE,"1"
"1040","2","$679,200","unlogpred","grosscon",5,1.0294,0.560613987632399,0.49,5.45319197435413,0.999759355803366,0.282360016267691,0.703032634847715,0.0375702435108376,0.0405583941335008,0.00298815062266318,1.0795350347357,TRUE,TRUE,TRUE,"1"
"1040","4","$1,186,000","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1040","5","$1,431,707","unlogpred","grosscon",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1040","6","$1,683,481","unlogpred","grosscon",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1040","7","$2,414,000","unlogpred","grosscon",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1040","8","$2,679,000","unlogpred","grosscon",8,0.9493,0.626920361903616,0.806798623063683,3.95919792772021,0.99827250164336,0.283627253991396,0.814374120190782,0.0525613422528208,0.055578343649048,0.00301700139622718,1.05739962616851,TRUE,FALSE,TRUE,"1"
"1040","9","$3,150,000","unlogpred","grosscon",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1050","3","$2,359,560","unlogpred","grosscon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1050","4","$2,828,919","unlogpred","grosscon",5,1.0891,0.319616432929542,0.49,4.10509355088411,0.999670698271562,0.77525720263926,0.267018060278324,0.0124443802195287,0.0278040822350247,0.015359702015496,2.23426813907472,TRUE,FALSE,TRUE,"1"
