"nbhd","decile","cutoff","predicted","actual","n","median_sales_ratio","r","spearmans","cod","prd","prb","clapp","gini","ci","ki","mki","accuracy","uniformity","vertical_equity","boro"
"All","All",NA,"unlogpred","grosscon",9750,0.9917,0.984427384349198,0.988468997356263,5.74589698997089,1.00989893745285,-0.00589118056187546,1.00994328852535,0.452008698806026,0.446026147049577,-0.00598255175644946,0.986764520744286,TRUE,TRUE,TRUE,NA
"1010","1","$680,152","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1010","2","$741,000","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1010","3","$1,009,600","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1010","4","$1,095,000","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1010","5","$1,185,000","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1010","6","$1,207,000","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1010","7","$1,276,000","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1010","8","$1,432,000","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1010","9","$1,564,000","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1010","10","$2,000,000","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1030","1","$965,467","unlogpred","grosscon",36,1.0244,0.831838392551057,0.834062799891946,4.62292910525798,1.00128157806599,0.0220959828048614,0.99067766694574,0.0820479951557681,0.076180494030584,-0.0058675011251841,0.928486965293367,TRUE,FALSE,TRUE,"1"
"1030","2","$1,094,771","unlogpred","grosscon",36,1.0008,0.306586070808744,0.246692290372084,4.68047047891646,1.00020327323566,0.427082264165261,0.639531682567622,0.0252043077193564,0.020755569214753,-0.00444873850460345,0.823492930091989,TRUE,FALSE,TRUE,"1"
"1030","3","$1,431,000","unlogpred","grosscon",36,1.0073,0.553656037123697,0.663006757794527,4.32898174722756,0.999350843800465,0.328287491404409,0.723687535912896,0.037930940130396,0.044248795616972,0.00631785548657603,1.16656205896445,TRUE,FALSE,TRUE,"1"
"1030","4","$1,800,000","unlogpred","grosscon",36,0.9998,0.487615077751907,0.589995227860932,5.47855403762128,1.0002066785524,0.258316504844637,0.814159315704845,0.0440397539037731,0.0420275552487867,-0.00201219865498636,0.954309493659228,TRUE,TRUE,TRUE,"1"
"1030","5","$2,175,000","unlogpred","grosscon",36,0.9897,0.174734788276196,0.107722074509828,6.40676027184746,1.00037976857861,0.61692241404006,0.56668796167039,0.0265349133825692,0.0205580268788381,-0.0059768865037311,0.774753871717655,TRUE,TRUE,TRUE,"1"
"1030","6","$2,534,000","unlogpred","grosscon",36,0.9856,0.533496526398711,0.469124943786103,4.98195607988372,0.999596454562116,0.327763196589299,0.70368983168463,0.0343533408130917,0.0375550943290147,0.00320175351592292,1.09320064483227,TRUE,FALSE,TRUE,"1"
"1030","7","$3,309,950","unlogpred","grosscon",36,0.9678,0.446680443269903,0.437314017683145,6.44135758658719,0.998714953137761,0.542325384137302,0.536739511570001,0.036058975988158,0.0468176645229976,0.0107586885348396,1.29836367339918,TRUE,TRUE,TRUE,"1"
"1030","8","$4,498,467","unlogpred","grosscon",36,1.0283,0.460337954790797,0.424966032394457,6.64760790906141,0.999098702805236,0.472006508962495,0.558163988523337,0.035551858805747,0.0438853809237215,0.00833352211797451,1.23440468087782,TRUE,TRUE,TRUE,"1"
"1030","9","$6,190,000","unlogpred","grosscon",36,0.9966,0.315431032255674,0.360803767602634,6.14835735472361,1.00412633914029,-0.0770083012319882,1.23602368600163,0.0529274392598577,0.0264938629063138,-0.0264335763535439,0.500569520778003,TRUE,TRUE,TRUE,"1"
"1030","10","$14,575,000","unlogpred","grosscon",35,0.9656,0.911427756402588,0.894255171948298,6.37596812687864,1.00398659599441,-0.00252481965412599,1.00489850020779,0.149845137963818,0.142958499450588,-0.00688663851322976,0.9540416285319,TRUE,TRUE,TRUE,"1"
"1040","1","$550,600","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1040","2","$679,200","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1040","3","$704,700","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1040","4","$1,186,000","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1040","5","$1,431,707","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1040","6","$1,683,481","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1040","7","$2,414,000","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1040","8","$2,679,000","unlogpred","grosscon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1040","9","$3,150,000","unlogpred","grosscon",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1040","10","$3,800,000","unlogpred","grosscon",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"1050","1","$1,560,000","unlogpred","grosscon",10,1.0511,0.875229118491302,0.882460973370064,4.81830411283764,0.994929215644498,0.213580097415955,0.808565528784118,0.0763245033112582,0.0976277060955665,0.0213032027843083,1.27911354624126,TRUE,FALSE,TRUE,"1"
"1050","2","$1,852,000","unlogpred","grosscon",10,0.9931,0.357510078258621,0.321583937534858,7.41045276139767,1.00300694214946,0.0425222624740615,0.935891703244289,0.0483156143996037,0.032460052404468,-0.0158555619951358,0.671833584397805,TRUE,TRUE,TRUE,"1"
