block,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
All,prediction,GROSSCON,9941,1.0249,0.8135565388264075,0.8396714935944849,19.420849050105517,1.0862593954412574,-0.048286436795085326,1.0826505465385492,0.4395610377818057,0.3846967239045096,-0.05486431387729612,0.8751838557981331,TRUE,FALSE,TRUE
28,prediction,GROSSCON,4,,,,,,,,,,,,,,
64,prediction,GROSSCON,7,1.1401,0.8350091607186888,0.7971938775510201,17.64789807605033,1.172740898379398,-0.166391831063373,1.283404753209006,0.38547689439727356,0.2838388107221534,-0.10163808367512017,0.7363315800444016,FALSE,FALSE,FALSE
65,prediction,GROSSCON,7,1.0467,0.45413177018851647,0.25,39.84338957660931,1.192541124751255,-0.7911379768833504,1.8786331378827306,0.24418370227006975,0.05434538478697399,-0.18983831748309576,0.22255942670108025,TRUE,FALSE,FALSE
100,prediction,GROSSCON,2,,,,,,,,,,,,,,
107,prediction,GROSSCON,1,,,,,,,,,,,,,,
117,prediction,GROSSCON,17,1.1667,0.899567128324235,0.872945840430503,6.0479912951506485,0.9952690874825205,0.07575655559140737,0.8856781724738968,0.12604956450155397,0.1397655380856093,0.013715973584055324,1.1088141290951166,FALSE,TRUE,TRUE
132,prediction,GROSSCON,1,,,,,,,,,,,,,,
134,prediction,GROSSCON,6,1.1605,0.13344626798775971,0.18367346938775508,17.55864798227839,1.037039021326848,-0.2196456743404241,1.2718949609810424,0.1286693957524229,0.0408967921074764,-0.08777260364494649,0.3178439742280852,FALSE,FALSE,FALSE
136,prediction,GROSSCON,3,,,,,,,,,,,,,,
137,prediction,GROSSCON,1,,,,,,,,,,,,,,
140,prediction,GROSSCON,1,,,,,,,,,,,,,,
143,prediction,GROSSCON,4,,,,,,,,,,,,,,
144,prediction,GROSSCON,3,,,,,,,,,,,,,,
146,prediction,GROSSCON,1,,,,,,,,,,,,,,
147,prediction,GROSSCON,1,,,,,,,,,,,,,,
150,prediction,GROSSCON,1,,,,,,,,,,,,,,
161,prediction,GROSSCON,9,0.6864,0.3246284746580242,0.6725490196078431,13.287193435872243,1.033896999195625,-1.1156044767203124,2.81970129038869,0.09285161749313708,0.026371989914242475,-0.06647962757889461,0.28402294570896086,FALSE,TRUE,FALSE
172,prediction,GROSSCON,1,,,,,,,,,,,,,,
175,prediction,GROSSCON,1,,,,,,,,,,,,,,
178,prediction,GROSSCON,3,,,,,,,,,,,,,,
179,prediction,GROSSCON,5,,,,,,,,,,,,,,
189,prediction,GROSSCON,4,,,,,,,,,,,,,,
193,prediction,GROSSCON,2,,,,,,,,,,,,,,
210,prediction,GROSSCON,2,,,,,,,,,,,,,,
214,prediction,GROSSCON,1,,,,,,,,,,,,,,
219,prediction,GROSSCON,3,,,,,,,,,,,,,,
220,prediction,GROSSCON,1,,,,,,,,,,,,,,
223,prediction,GROSSCON,1,,,,,,,,,,,,,,
225,prediction,GROSSCON,1,,,,,,,,,,,,,,
229,prediction,GROSSCON,2,,,,,,,,,,,,,,
230,prediction,GROSSCON,1,,,,,,,,,,,,,,
231,prediction,GROSSCON,1,,,,,,,,,,,,,,
232,prediction,GROSSCON,3,,,,,,,,,,,,,,
263,prediction,GROSSCON,24,1.0549,0.7723289138629735,0.7030149616927434,5.015392124206974,1.0071752949536419,-0.08494043184095507,1.0534373170682707,0.10236745025331133,0.07968860210819602,-0.02267884814511531,0.7784564518409336,TRUE,TRUE,TRUE
311,prediction,GROSSCON,36,1.0087,0.36677704151480056,0.39781861164519333,16.9089458789072,1.0623201285667292,-0.3392218604824785,1.3152188489905094,0.17867797363987037,0.0866756967972832,-0.09200227684258717,0.4850944692935688,TRUE,FALSE,FALSE
315,prediction,GROSSCON,30,0.9741,0.6081169774286457,0.3927149091637153,16.01233177943795,1.044678770875209,-0.37144694288438135,1.3990265635150336,0.1578857223040385,0.08078036148191738,-0.07710536082212112,0.5116381665364249,TRUE,FALSE,FALSE
321,prediction,GROSSCON,41,1.0327,0.1932475235992005,0.4744331481867075,10.540914593950857,1.0663262827711553,-0.3666312923726025,1.5906063193761986,0.17026052215815993,0.06250436161127482,-0.10775616054688511,0.36711012523039666,TRUE,TRUE,FALSE
