NBHD_NAME,NEIGHBORHOOD,NBHD,boro,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
,,,All,prediction,GROSSCON,20710,1.0107,0.8430689563089714,0.9098143393996572,16.74178943089953,1.0689331918443286,-0.025829331676748817,1.0442621572772441,0.4783301911406198,0.43963973165661635,-0.03869045948400346,0.9191134906376227,TRUE,FALSE,TRUE
ALPHABET CITY,1010,ABCD CITY,1,prediction,GROSSCON,61,0.9873,0.8291642512435512,0.7378453968131485,15.926795099079113,1.0515163163739347,-0.12441823011704943,1.144959796461349,0.273363556233895,0.2286520807145093,-0.04471147551938573,0.836439516168974,TRUE,FALSE,FALSE
CHELSEA,1030,CHELSEA,1,prediction,GROSSCON,339,1.0163,0.806185911184965,0.7063270492816991,22.366907815254176,1.0787656686982312,-0.09400920606387891,1.1420165937356532,0.3527671397808271,0.29077653983326374,-0.06199059994756334,0.8242733152921277,TRUE,FALSE,FALSE
CHINATOWN,1040,CHINATOWN,1,prediction,GROSSCON,1,,,,,,,,,,,,,,
CIVIC CENTER,1050,CIVIC CTR,1,prediction,GROSSCON,42,1.1027,0.9379951867228866,0.785080593104841,15.605920029540558,0.9713716799804797,0.08058348356613386,0.8693133745684769,0.36128771951352523,0.3872962512510953,0.026008531737570062,1.0719884190157103,FALSE,FALSE,FALSE
CLINTON,1060,CLINTON,1,prediction,GROSSCON,80,1.0012,0.7463616428593363,0.7269085524083507,14.20930987216372,1.0343333210738135,-0.10001566715121538,1.1200236779214365,0.2106046569263814,0.1595520143885425,-0.051052642537838894,0.7575901535943492,TRUE,TRUE,FALSE
EAST VILLAGE,1070,EAST VILAG,1,prediction,GROSSCON,54,1.0183,0.42659819827979684,0.5384246974355533,21.271636018172664,1.072546799906076,-0.2056631120254195,1.3574221246930966,0.23895114314737892,0.16343803283415254,-0.07551311031322638,0.6839809623063747,TRUE,FALSE,FALSE
FASHION,1080,FASHION,1,prediction,GROSSCON,40,1.1007,0.8037664926503991,0.8386803107386842,17.54567213208518,1.043728874939768,-0.027357031519171977,0.9785622374237625,0.35742153891561,0.32696018530795073,-0.03046135360765928,0.9147747119547504,FALSE,FALSE,TRUE
FINANCIAL,1090,FINANCIAL,1,prediction,GROSSCON,18,1.1472,0.7527973022998957,0.8002622172177737,23.220689408344356,1.1699653106621364,-0.14071428669252103,1.2477409323993915,0.3772271285956419,0.25780379300594863,-0.11942333558969326,0.6834179555582659,FALSE,FALSE,FALSE
FLATIRON,1100,FLATIRON,1,prediction,GROSSCON,198,1.021,0.8501986487829565,0.8522396286120623,14.000944650727787,1.0470196738053836,-0.05695729980505893,1.0919663914210644,0.3359996892449996,0.292324692136428,-0.043674997108571645,0.8700147693388928,TRUE,TRUE,FALSE
GRAMERCY,1110,GRAMERCY,1,prediction,GROSSCON,499,1.0188,0.6869064463800751,0.6867495445739088,17.864371927839347,1.0684756741999581,-0.09190580873530486,1.1468872519614801,0.30813079148584144,0.23656875584219506,-0.07156203564364638,0.7677543510060576,TRUE,FALSE,FALSE
GREENWICH VILLAGE-CENTRAL,1120,GRVIL-CNTL,1,prediction,GROSSCON,509,1.0098,0.7707350604567724,0.8299722439320413,20.584392318082426,1.071898463144937,-0.048539832870603754,1.0852165597214574,0.3712117251028428,0.3178050226733219,-0.05340670242952089,0.8561287297303857,TRUE,FALSE,TRUE
GREENWICH VILLAGE-WEST,1121,GRVIL-WEST,1,prediction,GROSSCON,401,1.0051,0.7692369003104563,0.7005695781404692,22.262662948956915,1.1033672487792003,-0.11042148723890176,1.1681339243046192,0.35452137181001186,0.27023943916959664,-0.08428193264041522,0.7622655801817727,TRUE,FALSE,FALSE
HARLEM-CENTRAL,1130,HARLM-CNTL,1,prediction,GROSSCON,18,1.2055,0.8970807960614647,0.763593683996642,21.871197583695622,1.0890260519045973,-0.16707941135758594,1.2306555498516463,0.3436704668270405,0.2750982243315764,-0.06857224249546412,0.8004709478572258,FALSE,FALSE,FALSE
HARLEM-EAST,1131,HARLM-EAST,1,prediction,GROSSCON,1,,,,,,,,,,,,,,
HARLEM-UPPER,1132,HARLM-UPR,1,prediction,GROSSCON,10,1.0192,0.591207993005631,0.4498977505112475,14.37440010119206,1.0117403737843804,0.011383943132424561,1.0874510866344973,0.14706364381316578,0.13997673976439434,-0.007086904048771436,0.951810632016062,TRUE,TRUE,TRUE
HARLEM-WEST,1133,HARLM-WEST,1,prediction,GROSSCON,2,,,,,,,,,,,,,,
INWOOD,1140,INWOOD,1,prediction,GROSSCON,125,1.0084,0.37563535296982575,0.46043089255895997,18.06727322555314,1.0641830612913419,-0.14610836363770696,1.1297046523464933,0.21923700116486886,0.12922429192320556,-0.0900127092416633,0.589427383318509,TRUE,FALSE,FALSE
JAVITS CENTER,1150,JAVITS CTR,1,prediction,GROSSCON,26,1.0596,0.765309795111556,0.6919284627092844,11.852066433005902,0.9968298357459879,0.10887923330992341,0.824974381069503,0.16173019391970256,0.1692483058638333,0.00751811194413074,1.0464855186401583,TRUE,TRUE,TRUE
KIPS BAY,1160,KIPS BAY,1,prediction,GROSSCON,106,1.0442,0.3923133640620846,0.7416942330469707,14.405723425859785,1.0929231969895232,-0.20868178622102054,1.3013847029075079,0.24365111045265295,0.1349671168287532,-0.10868399362389974,0.5539359807472761,TRUE,TRUE,FALSE
LITTLE ITALY,1170,LITL ITALY,1,prediction,GROSSCON,3,,,,,,,,,,,,,,
LOWER EAST SIDE,1180,LOW E SIDE,1,prediction,GROSSCON,184,1.0282,0.5078079825739727,0.5611572100810953,13.561029621087823,1.0528133496987686,-0.22546357503467254,1.2955810946113173,0.18532570876029428,0.10238306422954224,-0.08294264453075204,0.552449333200541,TRUE,TRUE,FALSE
MANHATTAN VALLEY,1190,MANHTN VLY,1,prediction,GROSSCON,39,1.0099,0.79959065772931,0.8426531988477586,20.367757429320122,1.0785641552742748,-0.07424296286750574,1.061195913410859,0.3511325586838808,0.2911717358753302,-0.05996082280855064,0.829235935758004,TRUE,FALSE,FALSE
MIDTOWN CBD,1200,MIDTN CBD,1,prediction,GROSSCON,70,1.0675,0.916623530227164,0.827411238624907,14.32526925820894,1.0494425137086545,-0.04410963522258505,1.0648469644402565,0.38730478547207586,0.3510498790154165,-0.03625490645665935,0.9063917931908092,TRUE,TRUE,TRUE
MIDTOWN EAST,1201,MIDTN EAST,1,prediction,GROSSCON,1111,1.024,0.8195127527123249,0.8324568295216422,16.758997565894912,1.061136535154612,-0.06328875294307493,1.0975069960449269,0.3597860252776397,0.3092750627605854,-0.05051096251705428,0.8596083255927576,TRUE,FALSE,FALSE
MIDTOWN WEST,1202,MIDTN WEST,1,prediction,GROSSCON,185,0.9986,0.8356662434503019,0.7558669441183237,21.126838231800807,1.1148645972190458,-0.10955368587043192,1.2073823175240606,0.3766348235955996,0.28129637759441234,-0.09533844600118724,0.7468676818276526,TRUE,FALSE,FALSE
MORNINGSIDE HEIGHTS,1210,MORNSD HTS,1,prediction,GROSSCON,72,1.0071,0.5919062920555638,0.5164935664041498,18.379762887033703,1.0346656266928207,-0.07995670058412074,1.2217778952234049,0.18417153387492846,0.12148411839315404,-0.06268741548177442,0.6596248390679872,TRUE,FALSE,FALSE
MURRAY HILL,1220,MURRAY HIL,1,prediction,GROSSCON,508,1.0301,0.7383059625421341,0.7170802498419125,15.518119015419577,1.0557871215607024,-0.10570567273647645,1.1509684558682136,0.25270813307756,0.18153856261165438,-0.07116957046590563,0.7183724575889981,TRUE,FALSE,FALSE
SOHO,1230,SOHO,1,prediction,GROSSCON,116,0.9461,0.8311980452175717,0.9033917097681888,23.012468052406074,1.0849579566462588,-0.06003903653801558,1.0793302919811962,0.4409130491682121,0.3994816871693017,-0.0414313619989104,0.9060328060667037,TRUE,FALSE,FALSE
SOUTHBRIDGE,1240,SOUTHBRIDG,1,prediction,GROSSCON,3,,,,,,,,,,,,,,
TRIBECA,1250,TRIBECA,1,prediction,GROSSCON,30,0.9429,0.650397518496276,0.6525950321179033,18.18141196936562,1.0287081696375802,-0.018316177064467462,1.0466237845445923,0.2248482215700193,0.18620716749926725,-0.03864105407075205,0.8281460542541185,TRUE,FALSE,TRUE
UPPER EAST SIDE (59-79),1270,UES 59-79,1,prediction,GROSSCON,1519,1.0312,0.7931335660172011,0.8690492142927244,20.666724129277128,1.107207531929918,-0.036745087968591286,1.0635524569517123,0.49635287161430414,0.4390294414656972,-0.05732343014860691,0.8845107313227139,TRUE,FALSE,TRUE
UPPER EAST SIDE (79-96),1271,UES 79-96,1,prediction,GROSSCON,1439,1.049,0.8431872796989816,0.8699864151688043,20.11207487969691,1.0924063458858269,-0.04231398548203787,1.0637636889460371,0.474288248087857,0.4228868711618675,-0.051401376925989506,0.891624181848866,TRUE,FALSE,TRUE
UPPER EAST SIDE (96-110),1272,UES 96-110,1,prediction,GROSSCON,61,1.1414,0.7712422286388347,0.7977783242017794,22.614760303109595,1.1921670978903744,-0.11339985373548495,1.165434947099757,0.46791398308436816,0.35858200636941295,-0.1093319767149552,0.7663417194881268,FALSE,FALSE,FALSE
UPPER WEST SIDE (59-79),1280,UWS 59-79,1,prediction,GROSSCON,760,1.0211,0.7485968892886319,0.8215798052821688,21.61634146205936,1.1044998409187325,-0.06293498959385452,1.0939775172616442,0.41979483525392697,0.35123279283826964,-0.06856204241565733,0.8366772607524214,TRUE,FALSE,FALSE
UPPER WEST SIDE (79-96),1281,UWS 79-96,1,prediction,GROSSCON,714,1.0257,0.8028584008283133,0.8027765214782588,21.24435398345839,1.09364707761481,-0.07008424110404572,1.11215880698287,0.427021072485287,0.3697601130615028,-0.057260959423784175,0.8659060099996421,TRUE,FALSE,FALSE
UPPER WEST SIDE (96-116),1282,UWS 96-116,1,prediction,GROSSCON,326,1.0296,0.688086805387869,0.7290521023557468,20.210337231557286,1.0889134006216272,-0.11505349468945564,1.1613453384825076,0.3174444183948169,0.2331950559032083,-0.08424936249160861,0.7346012164346053,TRUE,FALSE,FALSE
WASHINGTON HEIGHTS LOWER,1290,WASHTS-LOW,1,prediction,GROSSCON,37,0.9388,0.8084644061581716,0.6743693221334789,16.123314148125324,1.0484897063385137,-0.08995188315179777,1.1413539506341468,0.2704560584754628,0.21492541731511647,-0.05553064116034631,0.7946777695668283,TRUE,FALSE,FALSE
WASHINGTON HEIGHTS UPPER,1291,WASHTS-UPR,1,prediction,GROSSCON,234,1.0395,0.705403679142827,0.7630773552311005,15.674682140404869,1.0503006000324393,-0.10310784621448138,1.1732752745037902,0.24357038886315732,0.17856789218006344,-0.06500249668309388,0.7331264404245231,TRUE,FALSE,FALSE
BAYCHESTER,2020,BAYCHESTER,2,prediction,GROSSCON,11,0.9458,0.3843157809447658,0.23644781144781143,21.18896459617806,1.0836230807371914,-1.004922372236353,3.8093656735781694,0.16548561554501423,0.02549763093555897,-0.13998798460945527,0.15407762693805424,TRUE,FALSE,FALSE
BEDFORD PARK/NORWOOD,2030,BED PK/NOR,2,prediction,GROSSCON,97,1.0278,0.6080777348778199,0.47130577862061973,15.485337390301797,1.036990769768512,-0.21175486651248518,1.2333194425228522,0.1657204116007984,0.10179243788208386,-0.06392797371871453,0.6142420049455963,TRUE,FALSE,FALSE
BRONXDALE,2060,BRONXDALE,2,prediction,GROSSCON,22,0.9536,0.47079521287064496,0.6146528956800604,18.134628866813163,1.0613590227403527,-0.78153715650875355,2.896927310207563,0.1470201755077171,0.04474525183179119,-0.1022749236759259,0.3043476970236817,TRUE,FALSE,FALSE
CITY ISLAND,2080,CITY ISLND,2,prediction,GROSSCON,2,,,,,,,,,,,,,,
COUNTRY CLUB,2100,COUNTRY CL,2,prediction,GROSSCON,8,1.02,0.25970648540406,0.14285714285714282,7.525530883469448,1.0052214026821829,0.03820431179114483,0.9394478632694814,0.05686908000509194,0.030838749528300236,-0.026030330476791708,0.542276216276736,TRUE,TRUE,TRUE
FIELDSTON,2140,FIELDSTON,2,prediction,GROSSCON,26,1.0049,0.7395126739123251,0.5106596086431477,11.59346527593138,1.036443612059136,-0.1992272025748481,1.2980316233875868,0.18344060075115246,0.12095750722437912,-0.06248309352677334,0.6593824198627916,TRUE,TRUE,FALSE
