block,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,gini_p_value,ci_p_value,ki_p_value,mki_p_value,accuracy,uniformity,vertical_equity
All,prediction,GROSSCON,9941,1.0101,0.9465864796226009,0.9209222994924342,12.628107586914236,1.0500836866029115,-0.04147898396495321,1.0676499890826299,0.43960525921417787,0.4072367626157508,-0.032368496598424966,0.9263691779841707,0,0,0,0,TRUE,TRUE,TRUE
28,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,
64,prediction,GROSSCON,7,1.0084,0.9168378187727974,0.9298469387755098,10.473518113355137,1.050615449460723,-0.037040281209335245,1.0985745904813873,0.44972304346348563,0.4023792040105738,-0.047343839452911964,0.8947266764711471,9.929e-4,0.0020436,0.4517972,0.0020436,TRUE,TRUE,TRUE
65,prediction,GROSSCON,7,0.8762,0.41990900784017443,0.25,40.34475706673519,1.2045869377683547,-0.9855129755912061,2.4035198745464936,0.28488098598174794,0.053295125316631504,-0.23158586066511647,0.18707856241429194,0.0113018,0.2547391,0.0084394,0.2547391,FALSE,FALSE,FALSE
100,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
107,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
117,prediction,GROSSCON,17,0.9745,0.9400699863294025,0.872945840430503,4.813759315670033,1.003806457015266,-0.03943810957632474,1.0795419656388543,0.13392766228290115,0.12575653486818306,-0.008171127414718118,0.9389885011398326,0,1e-7,0.3484401,1e-7,TRUE,FALSE,TRUE
132,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
134,prediction,GROSSCON,6,0.982,0.832851958234666,0.7844897959183674,9.96129671485402,1.0239147911870354,-0.3183244222217686,1.5799458840065645,0.1544032749029075,0.08742172337867153,-0.06698155152423596,0.5661908624259713,0.0044769,0.0172795,0.0576094,0.0172795,TRUE,TRUE,TRUE
136,prediction,GROSSCON,3,,,,,,,,,,,,,,,,,,
137,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
140,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
143,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,
144,prediction,GROSSCON,3,,,,,,,,,,,,,,,,,,
146,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
147,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
150,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
161,prediction,GROSSCON,9,0.9612,0.9476263527891936,0.942296918767507,7.7976604267033345,1.0178611860289963,-0.4508368661727927,1.97975230589912,0.10445806967977916,0.052284590045136574,-0.05217347963464263,0.5005318421584594,8.05e-4,0.0094756,1.05e-5,0.0094756,TRUE,TRUE,TRUE
172,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
175,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
178,prediction,GROSSCON,3,,,,,,,,,,,,,,,,,,
179,prediction,GROSSCON,5,,,,,,,,,,,,,,,,,,
189,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,
193,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
210,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
214,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
219,prediction,GROSSCON,3,,,,,,,,,,,,,,,,,,
220,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
223,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
225,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
229,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
230,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
231,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
232,prediction,GROSSCON,3,,,,,,,,,,,,,,,,,,
263,prediction,GROSSCON,24,1.0264,0.7742309981500611,0.6633759814452197,4.746647051833743,1.0077961212567283,-0.10611990797553263,1.1036265125330558,0.1068182089599771,0.08010164178323635,-0.026716567176740716,0.7498875197696779,0,5e-7,0.0041139,5e-7,TRUE,FALSE,TRUE
311,prediction,GROSSCON,36,0.9864,0.39361223138892043,0.4558161965043714,16.857732713084886,1.0615743990746223,-0.4066449287285028,1.3551359953795115,0.18378305860100944,0.09499572337246612,-0.08878733522854339,0.516890534391968,0,1e-7,1.116e-4,1e-7,TRUE,FALSE,FALSE
315,prediction,GROSSCON,30,0.954,0.7083768983722236,0.5244314369171266,14.385103438367985,1.033578793484565,-0.26603389395669486,1.2165878804168242,0.16333005755590183,0.10715417645069178,-0.05617588110520996,0.6560591360473684,0,3.4e-6,1.594e-4,3.4e-6,TRUE,TRUE,FALSE
