boro,boro_name,NBHD_NAME,NEIGHBORHOOD,decile,cutoff,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,gini_p_value,ci_p_value,ki_p_value,mki_p_value,accuracy,uniformity,vertical_equity
All,All,All,All,All,NA,prediction,GROSSCON,20710,1.0037,0.9548741329943173,0.9565546430283309,10.883754073064331,1.0413892441406285,-0.0239955569936313,1.0375807157421355,0.4783532888368486,0.4545726040488471,-0.02378068478800125,0.9502863566678422,0,0,0,0,TRUE,TRUE,TRUE
1,Manhattan,ALPHABET CITY,1010,1,"$390,000",prediction,GROSSCON,7,1.1067,0.8850976341756458,0.7346938775510199,5.831810335265188,0.995608595039946,0.04770604521959921,0.8607892738712362,0.13877312276083947,0.15423361537815775,0.015460492617318319,1.1114084075485045,0.0221799,0.0259187,0.6077977,0.0259187,FALSE,TRUE,TRUE
1,Manhattan,ALPHABET CITY,1010,2,"$420,000",prediction,GROSSCON,19,1.0051,0.0040641293877076105,0.06416585325573405,6.285190242520937,1.0035322107054423,0.1603392681396394,1.1524329424863633,0.03678830803873048,0.002718727344337815,-0.03406958069439269,0.07390194029786869,0,0.7080601,3.066e-4,0.7080601,TRUE,TRUE,TRUE
1,Manhattan,ALPHABET CITY,1010,3,"$440,000",prediction,GROSSCON,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Manhattan,ALPHABET CITY,1010,4,"$480,000",prediction,GROSSCON,6,1.0212,0.2549944437545092,0.18367346938775508,8.152259083455204,1.002092613398522,1.5198677539378687,NA,0.018372703412073456,-0.04034690673617627,-0.05871961014824966,-2.1960244952119012,0.0011161,0.1860304,0.071844,0.1860304,TRUE,TRUE,TRUE
1,Manhattan,ALPHABET CITY,1010,5,"$620,000",prediction,GROSSCON,8,1.008,0.6044921605668447,0.7174502712477397,4.7746098630712295,0.9982421531254942,0.7028353996369254,0.33846954154290654,0.02319269676782635,0.05741589123933961,0.03422319447151326,2.4756022041812997,0.0025288,1.387e-4,8.738e-4,1.387e-4,TRUE,FALSE,TRUE
1,Manhattan,ALPHABET CITY,1010,6,"$700,000",prediction,GROSSCON,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Manhattan,ALPHABET CITY,1010,7,"$770,000",prediction,GROSSCON,10,0.9689,0.1963905064539633,0.14578512396694213,5.910179670085802,1.0014267822392628,0.34376482743865633,0.5099758292811357,0.03849014987176875,0.02278556267905743,-0.015704587192711388,0.5919842545422228,5e-7,0.2310697,0.3893741,0.2310697,TRUE,TRUE,TRUE
1,Manhattan,ALPHABET CITY,1010,8,"$1,015,000",prediction,GROSSCON,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Manhattan,ALPHABET CITY,1010,9,"$1,160,000",prediction,GROSSCON,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Manhattan,CHELSEA,1030,1,"$479,000",prediction,GROSSCON,14,1.2061,0.21715977100991107,0.4977224972829369,17.978441731242604,0.997357346888813,0.650155253694455,0.6438750280079523,0.09559774418602132,0.08829472510418875,-0.007303019081832564,0.9236067844067337,2e-7,0.1352984,0.894101,0.1352984,FALSE,FALSE,TRUE
1,Manhattan,CHELSEA,1030,2,"$550,000",prediction,GROSSCON,26,1.1708,0.058228139670849464,0.044306391940617064,8.074603308883907,1.001749675142031,0.6526372991605761,0.6371635019147218,0.03391639943672009,0.01355270259586418,-0.020363696840855892,0.3995914313118732,0,0.1906418,0.0490609,0.1906418,FALSE,TRUE,TRUE
1,Manhattan,CHELSEA,1030,3,"$647,000",prediction,GROSSCON,44,1.0968,0.013711263415219724,0.007616790499547295,9.922895367670158,1.0017946403245683,0.9960881693745379,0.46430701484232206,0.029952079785609008,0.009314612236300628,-0.02063746754930844,0.3109838215901101,0,0.1927738,0.0054381,0.1927738,TRUE,TRUE,TRUE
1,Manhattan,CHELSEA,1030,4,"$741,000",prediction,GROSSCON,32,1.0729,0.11730615277494297,0.10964665133758483,11.702524082360005,0.9996387120833486,1.0028253859408012,0.27846525240763126,0.02507245498795669,0.031786931615100725,0.006714476627144042,1.267802918795523,0,0.0241103,0.6194721,0.0241103,TRUE,TRUE,TRUE
1,Manhattan,CHELSEA,1030,5,"$850,000",prediction,GROSSCON,42,1.0046,0.01966652342194066,0.020208318890609176,9.904555593138202,1.0011596476977742,0.966303637267505,0.3581313594650385,0.0259237412347926,0.011682387762600853,-0.014241353472191846,0.45064435942299885,0,0.1903999,0.1172168,0.1903999,TRUE,TRUE,TRUE
1,Manhattan,CHELSEA,1030,6,"$985,000",prediction,GROSSCON,42,0.9597,0.03228694873388271,0.03218658735721942,10.028957512420313,1.0018636060618793,0.8556760131442052,0.6031675914415767,0.03299109578585108,0.011252370841386085,-0.021738724944464907,0.3410729644879482,0,0.2382705,0.0224513,0.2382705,TRUE,TRUE,TRUE
1,Manhattan,CHELSEA,1030,7,"$1,250,000",prediction,GROSSCON,39,0.9041,0.19731510949870087,0.2648770650748671,11.753148365999337,0.9992431382781498,0.7591551236245794,0.4705137483037907,0.04835063305626125,0.052937669842524036,0.0045870367862628145,1.0948702529070347,0,0.0011495,0.7602405,0.0011495,TRUE,TRUE,TRUE
1,Manhattan,CHELSEA,1030,8,"$1,554,000",prediction,GROSSCON,47,0.9374,0.29748418628636814,0.4315306241439576,10.653607765158592,0.9981273231811605,0.6578102517383866,0.5268347145923747,0.049739993301192824,0.06343905060860569,0.013699057307412854,1.275413332375425,0,1.18e-5,0.2969454,1.18e-5,TRUE,TRUE,TRUE
