boro,NEIGHBORHOOD,decile,COOPUNITKEY,GROSSCON,prediction,geometry
1,1120,1,100548002800000002-0000     2D,380000,332813.938360543,"c(-73.9938059971496, 40.7309084582514)"
1,1120,1,100526002300000001-0000      8,390000,425402.968813873,"c(-74.0016040342902, 40.729124555762)"
1,1120,1,100548002800000001-0000     3R,375000,440643.104354726,"c(-73.9938059971496, 40.7309084582514)"
1,1120,1,100548002800000001-0000     4V,390000,347722.175947399,"c(-73.9938059971496, 40.7309084582514)"
1,1120,1,100573004300000001-0000   1408,380000,439008.076130728,"c(-73.9963064633123, 40.7332486816949)"
1,1120,1,100573004300000001-0000   1418,390000,389450.862975745,"c(-73.9963064633123, 40.7332486816949)"
1,1120,1,100573004300000001-0000    712,370000,445399.611196537,"c(-73.9963064633123, 40.7332486816949)"
1,1120,1,100548002800000002-0000     4D,362500,518637.355619609,"c(-73.9938059971496, 40.7309084582514)"
1,1120,1,100548002800000002-0000     4I,335000,448730.415965476,"c(-73.9938059971496, 40.7309084582514)"
1,1120,1,100573004300000001-0000    731,395000,426351.991716196,"c(-73.9963064633123, 40.7332486816949)"
1,1120,1,100573004300000001-0000    219,375000,409740.599554703,"c(-73.9963064633123, 40.7332486816949)"
