block,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
All,prediction,GROSSCON,9941,1.0092,0.9488820827990978,0.9230811258389998,12.41771725360062,1.048075594884508,-0.040563617979237146,1.0662172198762956,0.4395610377818057,0.40854920671972916,-0.031011831062076556,0.9294481803515293,TRUE,TRUE,TRUE
28,prediction,GROSSCON,4,,,,,,,,,,,,,,
64,prediction,GROSSCON,7,1.0129,0.9147225178552942,0.9298469387755098,11.611768094913195,1.0568383820091536,-0.045353486141680464,1.1127345466713152,0.38547689439727356,0.3437503309413094,-0.04172656345596415,0.8917533993283638,TRUE,TRUE,TRUE
65,prediction,GROSSCON,7,0.9235,0.5089054714901733,0.41661157024793394,35.95084827290843,1.18847657862614,-0.8085266904408649,1.9263446641467417,0.24418370227006975,0.06008564069206125,-0.1840980615780085,0.24606736704158044,TRUE,FALSE,FALSE
100,prediction,GROSSCON,2,,,,,,,,,,,,,,
107,prediction,GROSSCON,1,,,,,,,,,,,,,,
117,prediction,GROSSCON,17,0.9913,0.945753207385575,0.9053601845012889,4.833043475122714,1.0037049585701912,-0.040785963841940054,1.050795163509979,0.12604956450155397,0.12016340742548086,-0.005886157076073109,0.9533028368693766,TRUE,FALSE,TRUE
132,prediction,GROSSCON,1,,,,,,,,,,,,,,
134,prediction,GROSSCON,6,0.9775,0.8018589496693844,0.7844897959183674,10.452400626881863,1.0259380565902456,-0.35287865167489607,1.6816927984597652,0.1286693957524229,0.06754460392064117,-0.061124791831781725,0.5249469271667834,TRUE,TRUE,TRUE
136,prediction,GROSSCON,3,,,,,,,,,,,,,,
137,prediction,GROSSCON,1,,,,,,,,,,,,,,
140,prediction,GROSSCON,1,,,,,,,,,,,,,,
143,prediction,GROSSCON,4,,,,,,,,,,,,,,
144,prediction,GROSSCON,3,,,,,,,,,,,,,,
146,prediction,GROSSCON,1,,,,,,,,,,,,,,
147,prediction,GROSSCON,1,,,,,,,,,,,,,,
150,prediction,GROSSCON,1,,,,,,,,,,,,,,
161,prediction,GROSSCON,9,0.9557,0.9806720167938376,0.942296918767507,7.314911140360563,1.01818516091568,-0.47492307608909307,1.874987298884866,0.09285161749313708,0.05209247037515515,-0.04075914711798193,0.5610292182471183,TRUE,TRUE,TRUE
172,prediction,GROSSCON,1,,,,,,,,,,,,,,
175,prediction,GROSSCON,1,,,,,,,,,,,,,,
178,prediction,GROSSCON,3,,,,,,,,,,,,,,
179,prediction,GROSSCON,5,,,,,,,,,,,,,,
189,prediction,GROSSCON,4,,,,,,,,,,,,,,
193,prediction,GROSSCON,2,,,,,,,,,,,,,,
210,prediction,GROSSCON,2,,,,,,,,,,,,,,
214,prediction,GROSSCON,1,,,,,,,,,,,,,,
219,prediction,GROSSCON,3,,,,,,,,,,,,,,
220,prediction,GROSSCON,1,,,,,,,,,,,,,,
223,prediction,GROSSCON,1,,,,,,,,,,,,,,
225,prediction,GROSSCON,1,,,,,,,,,,,,,,
229,prediction,GROSSCON,2,,,,,,,,,,,,,,
230,prediction,GROSSCON,1,,,,,,,,,,,,,,
231,prediction,GROSSCON,1,,,,,,,,,,,,,,
232,prediction,GROSSCON,3,,,,,,,,,,,,,,
263,prediction,GROSSCON,24,1.0358,0.8044827649130712,0.7788019239177963,5.29511125574974,1.0074923090508228,-0.10433779194323835,1.0859982724854695,0.10236745025331133,0.07960322282333661,-0.02276422742997472,0.7776224046447971,TRUE,TRUE,TRUE
311,prediction,GROSSCON,36,0.981,0.3876568042083485,0.481548100560369,16.743620730880522,1.0611319649757032,-0.39768029545463407,1.435620854906773,0.17867797363987037,0.09211310468311337,-0.086564868956757,0.5155257965302958,TRUE,FALSE,FALSE
315,prediction,GROSSCON,30,0.9706,0.7225487371131322,0.56550946919575,14.53158068197581,1.0310961154935423,-0.2320372991882654,1.2861705082311357,0.1578857223040385,0.10774502679894814,-0.05014069550509036,0.6824241307359314,TRUE,TRUE,FALSE
321,prediction,GROSSCON,41,1.0551,0.21020491056426396,0.48688112650358123,10.64488427835471,1.0649956657041537,-0.35092757828450644,1.4252618262471928,0.17026052215815993,0.06644509762236894,-0.10381542453579098,0.39025545546398693,TRUE,TRUE,FALSE
331,prediction,GROSSCON,44,1.0293,0.5121646605929185,0.7700642366295505,9.789329531917998,1.0415147645923908,-0.13560363135980183,1.1646691147959052,0.19055260595749116,0.12855526445868437,-0.061997341498806785,0.6746444836727278,TRUE,TRUE,FALSE
348,prediction,GROSSCON,1,,,,,,,,,,,,,,
350,prediction,GROSSCON,1,,,,,,,,,,,,,,
354,prediction,GROSSCON,1,,,,,,,,,,,,,,
355,prediction,GROSSCON,3,,,,,,,,,,,,,,
376,prediction,GROSSCON,1,,,,,,,,,,,,,,
377,prediction,GROSSCON,5,,,,,,,,,,,,,,
386,prediction,GROSSCON,7,0.9975,0.9246413086700285,0.7795454545454543,5.138660083864656,1.0083952731024348,-0.01679185277543841,1.0112984589571055,0.2119976124154397,0.1932737539854385,-0.01872385843000121,0.911678918377113,TRUE,TRUE,TRUE
