"","TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","COLUMNS","COLUMN_NAMES","first_col","PREFIX","PRIMARY_KEYS"
"1","FDW","FDW3NF","CAMA_SALEHIST_HIST",77,"SLH_OWN_PCT, SLH_NOTES, SLH_SALE_TYPE, SLH_DEED_TYPE, SLH_DEED_DATE, SLH_FIRST_NAME, SLH_MIDDLE_NAME, SLH_LAST_NAME, SLH_SUFFIX_NAME, SLH_COUNTY, SLH_RECORD_DATE, SLH_REFERENCE_NUM, SLH_BOOK_T, SLH_BOOK, SLH_PAGE, SLH_STAMP_RATE, SLH_INSTRUMENT2, SLH_QUALIFIED2, SLH_MORTGAGE, SLH_MORTGAGE_DESC, SLH_SALESHIST_TRANSACTION, SLH_USER_FLAG1, SLH_USER_FLAG2, SLH_USER1, SLH_USER_DESC1, SLH_USER2, SLH_USER_DESC2, SLH_LEGAL_OWNER, SLH_CURRENT_OWNER, SLH_PREV_LINE_NUM, SLH_USER3, SLH_USER_DESC3, SLH_USER4, SLH_USER_DESC4, SLH_USER5, SLH_USER_DESC5, SLH_USER6, SLH_USER_DESC6, SLH_USER7, SLH_USER_DESC7, SLH_TIME_ADJ_PRICE_2, SLH_CESP, SLH_SUPERVISOR_REVIEWED, SLH_SUPERVISOR_ID, SLH_CREATE_DATE, SLH_LAST_UPDATE, ADT_SK, RCRD_LST_UPD_DT, RCRD_LST_UPD_ID, ACTV_IND, STT_DT, END_DT, DATA_SRC_ID, DATE_KEY, SLH_MNC, SLH_PID, SLH_INTRNL_DATE, SLH_LINE_NUM, SLH_SALE_DATE, SLH_OWN_NAME, SLH_CO_OWN_NAME, SLH_OWN_ADDR, SLH_CITY, SLH_STT, SLH_ZIP, SLH_COUNTRY, SLH_INSTRUMENT, SLH_QUALIFIED, SLH_IMPROVED, SLH_PRICE, SLH_STAMP_TAX, SLH_STATUS_DATE, SLH_TIME_ADJ_PRICE, SLH_OWN_ADDR2, SLH_CERTIFICATE, SLH_OWN_ID, SLH_FUTURE","SLH_OWN_PCT",NA,NA
"2","FDW","FDW3NF","VW_CAMA_ABATEMENT",47,"ABT_DECISION_DATE, ABT_ATB_DEADLINE, ABT_ASSESS_VAL, ABT_REQUEST_VAL, ABT_ABATED_VAL, ABT_TTL_TAX, ABT_ABATED_TAX, ABT_INITIALS, ABT_APPLICANT, ABT_APP_ADDR1, ABT_APP_ADDR2, ABT_APP_CITY, ABT_APP_STATE, ABT_APP_ZIP, ABT_APP_PHONE, ABT_CONTACT, ABT_CONT_ADDR1, ABT_CONT_ADDR2, ABT_CONT_CITY, ABT_CONT_STATE, ABT_CONT_ZIP, ABT_CONT_PHONE, ABT_NOTES, ABT_POST_DATE, ABT_EXTRACT_DATE, ADT_SK, RCRD_LST_UPD_DT, RCRD_LST_UPD_ID, ACTV_IND, STT_DT, END_DT, ABT_MNC, ABT_PID, ABT_LINE_NUM, ABT_FISCAL_YR, ABT_APP_DATE, ABT_BILL_NUM, ABT_CERT_NUM, ABT_USE_CODE, ABT_TAX_RATE, ABT_PAYMNT_STATUS, ABT_STATUS, ABT_STATUS_DESC, ABT_REASON, ABT_REASON_DESC, ABT_INSPECT_DATE, ABT_HEARING_DATE","ABT_DECISION_DATE","ABT",NA
"3","FDW","FDW3NF","VW_CAMA_AHDATE",103,"AHD_TTL_APPRAIS_OB_AND_XF, AHD_RUN_TYPE, AHD_COMMENT, AHD_ASSESSMENT_RATIO, AHD_MRKT_APPRAIS_VAL, AHD_MRKT_ASSESS_VAL, AHD_PROP_MRKT_APPRAIS_VAL, AHD_PROP_MRKT_ASSESS_VAL, AHD_TTL_APPRAIS_LND_DEF, AHD_PROP_TTL_APPRAIS_LND_DEF, AHD_FINAL_VAL, AHD_FINAL_VAL_TYPE, AHD_LND_ALT_MKT_PART_AP, AHD_LND_ALT_PART_AP, AHD_PROP_LND_ALT_MKT_PART_AP, AHD_PROP_LND_ALT_PART_AP, AHD_TTL_APPRAIS_ALT_PROP, AHD_TTL_APPRAIS_LND_ALT_PROP, AHD_TTL_ASSESS_ALT_PROP, AHD_TTL_ASSESS_LND_ALT_PROP, AHD_TTL_ASSESS_LND_MKT, AHD_TTL_ASSESS_LND_MKT_PROP, AHD_TTL_ASSESS_MKT, AHD_TTL_ASSESS_MKT_PROP, AHD_TTL_APPRAIS_BLDG_ALT, AHD_TTL_APPRAIS_OB_ALT, AHD_TTL_APPRAIS_XF_ALT, AHD_CREATE_DATE, AHD_LAST_UPDATE, AHD_MNC, AHD_PID, AHD_SAVE_DATE, AHD_SAVE_TIME, AHD_FISCAL_YR, AHD_TTL_REPLACE_BLDG, AHD_TTL_APPRAIS_BLDG, AHD_TTL_ASSESS_BLDG, AHD_TTL_APPRAIS_BLDG_AND_XF, AHD_TTL_ASSESS_BLDG_AND_XF, AHD_TTL_APPRAIS_IMPROVEMENTS, AHD_TTL_ASSESS_IMPROVEMENTS, AHD_TTL_APPRAIS_LND, AHD_TTL_ASSESS_LND, AHD_TTL_NET_LND, AHD_TTL_APPRAIS_LND_AND_OB, AHD_TTL_ASSESS_LND_AND_OB, AHD_TTL_APPRAIS_OB, AHD_TTL_ASSESS_OB, AHD_TTL_APPRAIS_XF, AHD_TTL_ASSESS_XF, AHD_TTL_APPRAIS, AHD_TTL_ASSESS, AHD_VALUE_SOURCE, AHD_LND_USE, AHD_LND_TYPE, AHD_USE_CODE, AHD_USE_TYPE, AHD_TTL_EXEMPT, AHD_TTL_APPRAIS_PRE_PHASE_IN, AHD_TTL_ASSESS_PRE_PHASE_IN, AHD_PHASE_IN, AHD_EXE1_OVR, AHD_TTL_EXE1, AHD_EXE2_OVR, AHD_TTL_EXE2, AHD_PROP_REPLACE_BLDG, AHD_PROP_APPRAIS_BLDG, AHD_PROP_ASSESS_BLDG, AHD_PROP_APPRAIS_BLDG_AND_XF, AHD_PROP_ASSESS_BLDG_AND_XF, AHD_PROP_APPRAIS_IMPROVEMENTS, AHD_PROP_ASSESS_IMPROVEMENTS, AHD_PROP_APPRAIS_LND, AHD_PROP_ASSESS_LND, AHD_PROP_NET_LND, AHD_PROP_APPRAIS_LND_AND_OB, AHD_PROP_ASSESS_LND_AND_OB, AHD_PROP_APPRAIS_OB, AHD_PROP_ASSESS_OB, AHD_PROP_APPRAIS_XF, AHD_PROP_ASSESS_XF, AHD_PROP_APPRAIS, AHD_PROP_ASSESS, AHD_SAVE_NUM, AHD_FINAL_SAVE, AHD_TTL_APPRAIS_LND_ALT, AHD_TTL_ASSESS_LND_ALT, AHD_TTL_APPRAIS_ALT, AHD_TTL_ASSESS_ALT, AHD_PROP_TTL_ASSESS_ALT_LND, AHD_PROP_TTL_APPRAIS_ALT_LND, AHD_PROP_TTL_ASSESS_ALT_IMP, AHD_PROP_TTL_APPRAIS_ALT_IMP, AHD_PROP_TTL_ASSESS_ALT, AHD_PROP_TTL_APPRAIS_ALT, AHD_SAVE_ID, AHD_SOH_PCT, AHD_NSOH_PCT, AHD_HOMESTEAD_PORTABILITY, AHD_TAXES, AHD_CLASSIFIED_LAND, AHD_TTL_ADJUSTED_LAND, AHD_TTL_ADJUSTED_APPRAIS","AHD_TTL_APPRAIS_OB_AND_XF","AHD",NA
"4","FDW","FDW3NF","VW_CAMA_BLDG",31,"BLD_NOTES, BLD_NOTES2, BLD_NOTES3, BLD_NOTES4, BLD_NOTES5, BLD_NOTES6, BLD_NOTES7, BLD_NOTES8, BLD_NOTES9, BLD_NOTES10, BLD_NOTES11, BLD_BLDG_STATUS_DATE, BLD_STATUS_DATE, BLD_INTRNL_NOTE, BLD_TIE_01, BLD_TIE_CD_01, BLD_TIE_02, BLD_TIE_CD_02, BLD_BLDG_NAME, BLD_BIN, BLD_FRONTAGE, BLD_DEPTH, BLD_PERIMETER, BLD_CREATE_STAMP, BLD_REINSPECT, BLD_CREATE_DATE, BLD_LAST_UPDATE, BLD_MNC, BLD_PID, BLD_BID, BLD_BLDG_NUM","BLD_NOTES","BLD",NA
"5","FDW","FDW3NF","VW_CAMA_BLDG_HIST",32,"BLD_MNC, BLD_PID, BLD_BID, BLD_BLDG_NUM, BLD_NOTES, BLD_NOTES2, BLD_NOTES3, BLD_NOTES4, BLD_NOTES5, BLD_NOTES6, BLD_NOTES7, BLD_NOTES8, BLD_NOTES9, BLD_NOTES10, BLD_NOTES11, BLD_BLDG_STATUS_DATE, BLD_STATUS_DATE, BLD_INTRNL_NOTE, BLD_TIE_01, BLD_TIE_CD_01, BLD_TIE_02, BLD_TIE_CD_02, BLD_BLDG_NAME, BLD_BIN, BLD_FRONTAGE, BLD_DEPTH, BLD_PERIMETER, BLD_CREATE_STAMP, BLD_REINSPECT, BLD_CREATE_DATE, BLD_LAST_UPDATE, DATE_KEY","BLD_MNC","BLD",NA
"6","FDW","FDW3NF","VW_CAMA_BUILDING_CATEGORY",6,"BCT_MNC, BCT_CODE, BCT_DESC, BCT_GROUP, BCT_CREATE_DATE, BCT_LAST_UPDATE","BCT_MNC","BCT",NA
"7","FDW","FDW3NF","VW_CAMA_CONSTR",62,"CNS_MNC, CNS_PID, CNS_BID, CNS_STYLE, CNS_BASE_RATE, CNS_STYLE_DESC, CNS_IS_CMRCL, CNS_IS_CONDO, CNS_IS_CONDO_MAIN, CNS_MDL, CNS_MDL_DESC, CNS_IS_VACANT, CNS_SIZ_ADJ_FACTOR, CNS_AREA_EFFECTIVE, CNS_AREA_GROSS, CNS_AREA_LIVING, CNS_REPLACE_COST, CNS_APPRAIS_VAL, CNS_REAL_APPRAIS_VAL, CNS_ASSESS_VAL, CNS_REAL_ASSESS_VAL, CNS_OVERRIDE_VAL, CNS_OVERRIDE_INITIALS, CNS_STATUS_DATE, CNS_REGRESSION_VAL, CNS_OCC, CNS_OCC_DESC, CNS_BLDG_STORIES, CNS_GROUP, CNS_STRUCT_CLASS, CNS_IS_EXE1, CNS_IS_EXE1_PCT, CNS_IS_EXE2, CNS_IS_EXE2_PCT, CNS_OVERRIDE_VAL_ASSESS, CNS_ALT_CODE_1, CNS_ALT_ISSUED_1, CNS_ALT_COMPLETE_1, CNS_ALT_CODE_2, CNS_ALT_ISSUED_2, CNS_ALT_COMPLETE_2, CNS_BIS_CODE, CNS_BIS_CODE_DESC, CNS_BIS_PCT, CNS_BLD_STATUS, CNS_BLD_STATUS_DESC, CNS_RES_UNITS, CNS_COM_UNITS, CNS_OOSF, CNS_ALT_CODE_1_DESC, CNS_ALT_CODE_2_DESC, CNS_USE_APEX, CNS_BID_IDENT, CNS_AREA_DEMO, CNS_DEMO_COST, CNS_IS_EXE1_VAL, CNS_IS_EXE2_VAL, CNS_RES_SQFT, CNS_COM_SQFT, CNS_TTL_SQFT, CNS_CREATE_DATE, CNS_LAST_UPDATE","CNS_MNC","CNS",NA
"8","FDW","FDW3NF","VW_CAMA_CONSTRCDM",72,"CNS_MNC, CNS_PID, CNS_BID, CNS_SECT_NUM, CNS_STYLE, CNS_STYLE_DESC, CNS_STORIES, CNS_STORIES_DESC, CNS_EXT_WALL_1, CNS_EXT_WALL_1_DESC, CNS_ROOF_STRUCT, CNS_ROOF_STRUCT_DESC, CNS_ROOF_COVER, CNS_ROOF_COVER_DESC, CNS_EXT_CNDTN, CNS_EXT_CNDTN_DESC, CNS_FOUNDATION, CNS_FOUNDATION_DESC, CNS_GRADE, CNS_GRADE_DESC, CNS_NUM_BLDGS, CNS_NUM_SECTS, CNS_NUM_UNITS_RES, CNS_NUM_UNITS_CMRCL, CNS_NUM_UNITS_RES_COM, CNS_REMOD_EXT, CNS_REMOD_EXT_DESC, CNS_SECURITY, CNS_SECURITY_DESC, CNS_CONDO_APPEAL, CNS_CONDO_APPEAL_DESC, CNS_USRFLD_81, CNS_USRFLD_81_DESC, CNS_USRFLD_82, CNS_USRFLD_82_DESC, CNS_NUM_PARK_EASEMENT, CNS_NUM_PARK_COMMON, CNS_NUM_PARK_DEEDED, CNS_SUPER, CNS_USRFLD_400, CNS_USRFLD_400_DESC, CNS_USRFLD_401, CNS_USRFLD_401_DESC, CNS_USRFLD_402, CNS_USRFLD_402_DESC, CNS_USRFLD_403, CNS_USRFLD_403_DESC, CNS_USRFLD_404, CNS_USRFLD_404_DESC, CNS_USRFLD_405, CNS_USRFLD_405_DESC, CNS_USRFLD_406, CNS_USRFLD_406_DESC, CNS_USRFLD_407, CNS_USRFLD_407_DESC, CNS_USRFLD_408, CNS_USRFLD_408_DESC, CNS_ADJ_BASE_RATE, CNS_OCC, CNS_OCC_DESC, CNS_GROUP, CNS_AREA_EFFECTIVE, CNS_AREA_GROSS, CNS_AREA_LIVING, CNS_BASE_RATE, CNS_BID_IDENT, CNS_AREA_DEMO, CNS_SECT_IDENT, CNS_SQFT_WITH_GRADE, CNS_SQFT_WITHOUT_GRADE, CNS_CREATE_DATE, CNS_LAST_UPDATE","CNS_MNC","CNS",NA
"9","FDW","FDW3NF","VW_CAMA_CONSTRCDM_HIST",73,"CNS_USRFLD_404, CNS_USRFLD_404_DESC, CNS_USRFLD_405, CNS_USRFLD_405_DESC, CNS_USRFLD_406, CNS_USRFLD_406_DESC, CNS_USRFLD_407, CNS_USRFLD_407_DESC, CNS_USRFLD_408, CNS_USRFLD_408_DESC, CNS_ADJ_BASE_RATE, CNS_OCC, CNS_OCC_DESC, CNS_GROUP, CNS_AREA_EFFECTIVE, CNS_AREA_GROSS, CNS_AREA_LIVING, CNS_BASE_RATE, CNS_BID_IDENT, CNS_AREA_DEMO, CNS_SECT_IDENT, CNS_SQFT_WITH_GRADE, CNS_SQFT_WITHOUT_GRADE, CNS_CREATE_DATE, CNS_LAST_UPDATE, DATE_KEY, CNS_MNC, CNS_PID, CNS_BID, CNS_SECT_NUM, CNS_STYLE, CNS_STYLE_DESC, CNS_STORIES, CNS_STORIES_DESC, CNS_EXT_WALL_1, CNS_EXT_WALL_1_DESC, CNS_ROOF_STRUCT, CNS_ROOF_STRUCT_DESC, CNS_ROOF_COVER, CNS_ROOF_COVER_DESC, CNS_EXT_CNDTN, CNS_EXT_CNDTN_DESC, CNS_FOUNDATION, CNS_FOUNDATION_DESC, CNS_GRADE, CNS_GRADE_DESC, CNS_NUM_BLDGS, CNS_NUM_SECTS, CNS_NUM_UNITS_RES, CNS_NUM_UNITS_CMRCL, CNS_NUM_UNITS_RES_COM, CNS_REMOD_EXT, CNS_REMOD_EXT_DESC, CNS_SECURITY, CNS_SECURITY_DESC, CNS_CONDO_APPEAL, CNS_CONDO_APPEAL_DESC, CNS_USRFLD_81, CNS_USRFLD_81_DESC, CNS_USRFLD_82, CNS_USRFLD_82_DESC, CNS_NUM_PARK_EASEMENT, CNS_NUM_PARK_COMMON, CNS_NUM_PARK_DEEDED, CNS_SUPER, CNS_USRFLD_400, CNS_USRFLD_400_DESC, CNS_USRFLD_401, CNS_USRFLD_401_DESC, CNS_USRFLD_402, CNS_USRFLD_402_DESC, CNS_USRFLD_403, CNS_USRFLD_403_DESC","CNS_USRFLD_404","CNS",NA
"10","FDW","FDW3NF","VW_CAMA_CONSTRCDU",157,"CNS_USRFLD_600, CNS_USRFLD_601, CNS_USRFLD_700, CNS_USRFLD_701, CNS_USRFLD_800, CNS_USRFLD_801, CNS_USRFLD_900, CNS_USRFLD_901, CNS_USRFLD_702, CNS_USRFLD_703, CNS_USRFLD_704, CNS_USRFLD_705, CNS_USRFLD_706, CNS_USRFLD_707, CNS_USRFLD_708, CNS_USRFLD_709, CNS_USRFLD_710, CNS_USRFLD_711, CNS_USRFLD_712, CNS_USRFLD_713, CNS_USRFLD_714, CNS_USRFLD_715, CNS_USRFLD_716, CNS_USRFLD_717, CNS_USRFLD_718, CNS_USRFLD_719, CNS_CREATE_DATE, CNS_LAST_UPDATE, CNS_HTWTR_TYPE_DESC, CNS_AC_TYPE, CNS_AC_TYPE_DESC, CNS_INT_WALL_1, CNS_INT_WALL_1_DESC, CNS_INT_CNDTN, CNS_INT_CNDTN_DESC, CNS_VIEW, CNS_VIEW_DESC, CNS_ATYPICAL, CNS_ATYPICAL_DESC, CNS_FIREPLACES, CNS_USRFLD_83, CNS_USRFLD_83_DESC, CNS_NUM_PARK, CNS_PARK_TYPE, CNS_PARK_TYPE_DESC, CNS_PARK_OWN, CNS_PARK_OWN_DESC, CNS_PARK_TANDEM, CNS_BASE_FLR_PM, CNS_PCT_LOW_CEILING, CNS_USRFLD_300, CNS_USRFLD_300_DESC, CNS_USRFLD_301, CNS_USRFLD_301_DESC, CNS_USRFLD_302, CNS_USRFLD_302_DESC, CNS_USRFLD_303, CNS_USRFLD_303_DESC, CNS_USRFLD_304, CNS_USRFLD_304_DESC, CNS_USRFLD_305, CNS_USRFLD_305_DESC, CNS_SECT_NUM, CNS_GROUP, CNS_AREA_EFFECTIVE, CNS_AREA_GROSS, CNS_AREA_LIVING, CNS_BASE_RATE, CNS_ADJ_BASE_RATE, CNS_CONDO_FLR, CNS_CONDO_FLR_PCT, CNS_CONDO_FLR_DESC, CNS_CONDO_UNIT_LOCN, CNS_CONDO_UNIT_LOCN_PCT, CNS_CONDO_UNIT_LOCN_DESC, CNS_STYLE, CNS_STYLE_DESC, CNS_NUM_HALF_BATHS_DESC, CNS_NUM_XTRA_FIX_DESC, CNS_BID_IDENT, CNS_AREA_DEMO, CNS_SECT_IDENT, CNS_SQFT_WITH_GRADE, CNS_SQFT_WITHOUT_GRADE, CNS_CONDO_ADJ1, CNS_CONDO_ADJ1_DESC, CNS_CONDO_ADJ2, CNS_CONDO_ADJ2_DESC, CNS_CONDO_ADJ3, CNS_CONDO_ADJ3_DESC, CNS_CONDO_ADJ4, CNS_CONDO_ADJ4_DESC, CNS_CONDO_ADJ5, CNS_CONDO_ADJ5_DESC, CNS_CONDO_ADJ6, CNS_CONDO_ADJ6_DESC, CNS_GRADE, CNS_GRADE_DESC, CNS_USRFLD_100, CNS_USRFLD_100_DESC, CNS_USRFLD_101, CNS_USRFLD_101_DESC, CNS_USRFLD_102, CNS_USRFLD_102_DESC, CNS_USRFLD_103, CNS_USRFLD_103_DESC, CNS_USRFLD_104, CNS_USRFLD_104_DESC, CNS_USRFLD_105, CNS_USRFLD_105_DESC, CNS_USRFLD_106, CNS_USRFLD_106_DESC, CNS_USRFLD_107, CNS_USRFLD_107_DESC, CNS_USRFLD_108, CNS_USRFLD_108_DESC, CNS_MNC, CNS_PID, CNS_BID, CNS_BASE_FLR, CNS_BASE_FLR_DESC, CNS_STORIES, CNS_STORIES_DESC, CNS_UNIT_LOCN, CNS_UNIT_LOCN_DESC, CNS_UNIT_LOCN2, CNS_UNIT_LOCN2_DESC, CNS_NUM_RMS, CNS_NUM_RMS_DESC, CNS_NUM_BEDRM, CNS_NUM_BEDRM_DESC, CNS_BEDRM_FUNC, CNS_BEDRM_FUNC_DESC, CNS_NUM_PART_BEDRM, CNS_NUM_BATHRM, CNS_NUM_BATHRM_DESC, CNS_NUM_HALF_BATHS, CNS_NUM_XTRA_FIX, CNS_BATHRM_STYLE, CNS_BATHRM_STYLE_DESC, CNS_BATHRM_STYLE2, CNS_BATHRM_STYLE2_DESC, CNS_BATHRM_STYLE3, CNS_BATHRM_STYLE3_DESC, CNS_BATHRM_FUNC, CNS_BATHRM_FUNC_DESC, CNS_KITCHEN_TYPE, CNS_KITCHEN_TYPE_DESC, CNS_KITCHEN_STYLE, CNS_KITCHEN_STYLE_DESC, CNS_KITCHEN_FUNC, CNS_KITCHEN_FUNC_DESC, CNS_HEAT_TYPE, CNS_HEAT_TYPE_DESC, CNS_HEAT_SYS, CNS_HEAT_SYS_DESC, CNS_HTWTR_TYPE","CNS_USRFLD_600","CNS",NA
