"","TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","COLUMNS","COLUMN_NAMES","PREFIX","first_col","PRIMARY_KEYS"
"1","IAS","IAS","AA002_VIEW",14,"LOW_LOT, ADRADD, ADRSTR, HIGH_LOT, TAXYR, USER2, COMPLEX, SPLITNO, WEN, ZIP1, ADRNO, OLDID, CUR, USER11",NA,NA,NA
"2","IAS","IAS","AA013FIT_2023_FILER_PULL_TABLE",26,"TENTAXCLASS, IDENT_TYPE, SUBIDENT, IDENT, PARID, REQUIRED, OVRD, ICIP_EX, RECTYPE, ICIP, TWOPCT, TAXABLE2, TENACTTOT2, TENACTLAND, TAXABLE, TENACTTOT, ORE_BBL, LINK#, FEDID, ZIP, STATECODE, CITYNAME, ADDR2, ADDR1, OWNER, BLDG_CLASS",NA,NA,NA
"3","IAS","IAS","AA013FIT_2024_FIN_FILER_PULL",27,"EXTRACTDT, REQUIRED, OVRD, ICIP_EX, RECTYPE, ICIP, TWOPCT, TAXABLE2, PERACTTOT2, FINACTLAND, TAXABLE, FINACTTOT, ORE_BBL, LINK#, FEDID, ZIP, STATECODE, CITYNAME, ADDR2, ADDR1, OWNER, BLDG_CLASS, FINTAXCLASS, IDENT_TYPE, SUBIDENT, IDENT, PARID",NA,NA,NA
"4","IAS","IAS","AA013FIT_2024_TEN_FILER_PULL",27,"EXTRACTDT, REQUIRED, OVRD, ICIP_EX, RECTYPE, ICIP, TWOPCT, TAXABLE2, PERACTTOT2, TENACTLAND, TAXABLE, TENACTTOT, ORE_BBL, LINK#, FEDID, ZIP, STATECODE, CITYNAME, ADDR2, ADDR1, OWNER, BLDG_CLASS, TENTAXCLASS, IDENT_TYPE, SUBIDENT, IDENT, PARID",NA,NA,NA
"5","IAS","IAS","AA013FIT_2025_TEN_FILER_PULL",33,"CITYNAME, ADDR2, ADDR1, OWNER, BLDG_CLASS, TENTAXCLASS, IDENT_TYPE, SUBIDENT, IDENT, PARID, PROP_UNITNO, PROP_ADRSTR, PROP_ADRNO, REQUIRED, OVRD, ICIP_EX, RECTYPE, ICIP, TWOPCT, TAXABLE2, PERACTTOT2, TENACTLAND, TAXABLE, TENACTTOT, ORE_BBL, LINK#, FEDID, ZIP, STATECODE, EXTRACTDT, PROP_ZIP, PROP_STATECODE, PROP_CITYNAME",NA,NA,NA
"6","IAS","IAS","AA013FIT_2026_TEN_FILER_PULL",33,"TENTAXCLASS, IDENT_TYPE, SUBIDENT, IDENT, PARID, PERACTTOT2, TENACTLAND, TAXABLE, TENACTTOT, ORE_BBL, LINK#, FEDID, ZIP, STATECODE, CITYNAME, ADDR2, ADDR1, OWNER, BLDG_CLASS, EXTRACTDT, PROP_ZIP, PROP_STATECODE, PROP_CITYNAME, PROP_UNITNO, PROP_ADRSTR, PROP_ADRNO, REQUIRED, OVRD, ICIP_EX, RECTYPE, ICIP, TWOPCT, TAXABLE2",NA,NA,NA
"7","IAS","IAS","AA014FIT_REUC_SPOOL_TABLE",1,"SPOOL_RR_REC",NA,NA,NA
"8","IAS","IAS","AA014FIT_REUC_TABLE",1,"LINK#",NA,NA,NA
"9","IAS","IAS","AA014FIT_TEMP",2,"TOT_WRITTEN, MYPROG",NA,NA,NA
"10","IAS","IAS","AA706NYCE",40,"COMMENTS, PCTS_OTHER_DESC, PCTS_OF_OTHER_OCC, PCTS_OF_GAR_OCC, PCTS_OF_STOR_OCC, PCTS_OF_WAR_OCC, PCTS_OF_FACT_OCC, PCTS_OF_LOFT_OCC, PCTS_OF_RET_OCC, PCTS_OF_OFF_OCC, PCTS_OF_RES_OCC, OTH4_DESC, OTH4_PER_VAC, OTH3_DESC, OTH3_PER_VAC, OTH2_DESC, OTH2_PER_VAC, OTH1_DESC, OTH1_PER_VAC, GAR_PER_VAC, STO_PER_VAC, WAR_PER_VAC, FAC_PER_VAC, LOF_PER_VAC, RET_PER_VAC, OFF_PER_VAC, APT_PER_VAC, CONSOLIDATION_FLAG, DATA_STATUS, DATA_SOURCE, PERIOD_END_YEAR, PERIOD_END_MONTH, PERIOD_BEG_YEAR, PERIOD_BEG_MONTH, APPRAISAL_YEAR, ID_EASEMENT, ID_LOT, ID_BLOCK, ID_BORO, ID_ENTITY_TYPE",NA,NA,NA
"11","IAS","IAS","AA706NYCH",67,"EXP_FOOD_BEVER, EXP_ROOM, INC_RT_O_OTHER_C_DESC, INC_RT_O_OTHER_C, INC_RT_O_OTHER_B_DESC, INC_RT_O_OTHER_B, INC_RT_O_OTHER_A_DESC, INC_RT_O_OTHER_A, INC_CELL_TOWERS, INC_SIGNAGE_BLB, INC_RT_OTHER_C_DESC, INC_RT_OTHER_C, INC_RT_OTHER_B_DESC, INC_RT_OTHER_B, INC_RT_OTHER_A_DESC, INC_RT_OTHER_A, INC_OFFICES, INC_RESTAURANTS, INC_STORES, INC_APARTMENTS, INC_DP_OTHER_C_DESC, INC_DP_OTHER_C, INC_DP_OTHER_B_DESC, INC_DP_OTHER_B, INC_DP_OTHER_A_DESC, INC_DP_OTHER_A, INC_PARKING, INC_CONF_EXIBITS, INC_TELECOM, INC_FOOD_BEVER, INC_ROOM, PERIOD_END_YEAR, PERIOD_END_MONTH, PERIOD_BEG_YEAR, PERIOD_BEG_MONTH, PERIOD_YEAR_TYPE, OCC_RTE, KEY_TOT, RM_PRM, RM_TRN, ID_ENTITY_TYPE, ID_EASEMENT, ID_LOT, ID_BLOCK, ID_BORO, PARID, CONSOLIDATION_FLAG, UND_DP_OTHER_C_DESC, UND_DP_OTHER_C, UND_DP_OTHER_B_DESC, UND_DP_OTHER_B, UND_DP_OTHER_A_DESC, UND_DP_OTHER_A, UND_INSURANCE, UND_MAINT, UND_ENERGY, UND_FRAN_FEE, UND_MNGM_FEE, UND_MARKETING, UND_ADMIN_GENERAL, EXP_DP_OTHER_C_DESC, EXP_DP_OTHER_C, EXP_DP_OTHER_B_DESC, EXP_DP_OTHER_B, EXP_DP_OTHER_A_DESC, EXP_DP_OTHER_A, EXP_TELECOM",NA,NA,NA
"12","IAS","IAS","AA706NYCH_DIFF",6,"RPAD_VAL, PTS_VAL, RPAD_COL, COL, CID, PARID",NA,NA,NA
"13","IAS","IAS","AA706NYCW",149,"MISC3_DETAIL, MISC2_AMOUNT, MISC2_DETAIL, MISC1_AMOUNT, MISC1_DETAIL, LEAS2_AMOUNT, LEAS2_DETAIL, LEAS1_AMOUNT, LEAS1_DETAIL, DECOR_AMOUNT, ADV_AMOUNT, WATER_AMOUNT, INSUR_AMOUNT, MANAG_AMOUNT, REPAIR_AMOUNT, WAGES_AMOUNT, CLEAN_AMOUNT, LIGHT_AMOUNT, FUEL_AMOUNT, SALE_PRICE_2, SALE_DATE_2, SALE_VALIDITY_1, SALE_STATUS_1, SALE_PRICE_1, SALE_DATE_1, CONSOLIDATION_FLAG, BLDG_RENTAL_AMT, LAND_RENTAL_AMT, DATA_STATUS, DATA_SOURCE, PERIOD_END_YEAR, PERIOD_END_MONTH, PERIOD_BEG_YEAR, PERIOD_BEG_MONTH, APPRAISAL_YEAR, ID_EASEMENT, ID_LOT, ID_BLOCK, ID_BORO, ID_ENTITY_TYPE, PARID, OTHR3_AMOUNT, OTHR3_UNITS, OTHR3_DETAIL, OTHR2_AMOUNT, OTHR2_UNITS, OTHR2_DETAIL, OTHR1_AMOUNT, OTHR1_UNITS, OTHR1_DETAIL, CELL_AMOUNT, CELL_UNITS, SGNBIL_AMOUNT, SGNBIL_UNITS, GOVRNT_AMOUNT, GOVRNT_UNITS, SLOTHR_AMOUNT, SLOTHR_UNITS, SLUTIL_AMOUNT, SLUTIL_UNITS, TAXESC_AMOUNT, TAXESC_UNITS, OPRESC_AMOUNT, OPRESC_UNITS, OWN_AMOUNT, OWN_UNITS, GAR_AMOUNT, GAR_UNITS, STO_AMOUNT, STO_UNITS, WAR_AMOUNT, WAR_UNITS, FAC_AMOUNT, FAC_UNITS, LOF_AMOUNT, LOF_UNITS, RET_AMOUNT, RET_UNITS, OFF_AMOUNT, OFF_UNITS, APT_UNR_AMOUNT, APT_UNR_UNITS, APT_REG_AMOUNT, APT_REG_UNITS, APT_AMOUNT, APT_UNITS, FLAG, VACANCY_END_YEAR_6, VACANCY_END_MONTH_6, VACANCY_BEG_YEAR_6, VACANCY_BEG_MONTH_6, VACANCY_AREA_6, VACANCY_USE_6, VACANCY_FLOOR_6, VACANCY_END_YEAR_5, VACANCY_END_MONTH_5, VACANCY_BEG_YEAR_5, VACANCY_BEG_MONTH_5, VACANCY_AREA_5, VACANCY_USE_5, VACANCY_FLOOR_5, VACANCY_END_YEAR_4, VACANCY_END_MONTH_4, VACANCY_BEG_YEAR_4, VACANCY_BEG_MONTH_4, VACANCY_AREA_4, VACANCY_USE_4, VACANCY_FLOOR_4, VACANCY_END_YEAR_3, VACANCY_END_MONTH_3, VACANCY_BEG_YEAR_3, VACANCY_BEG_MONTH_3, VACANCY_AREA_3, VACANCY_USE_3, VACANCY_FLOOR_3, VACANCY_END_YEAR_2, VACANCY_END_MONTH_2, VACANCY_BEG_YEAR_2, VACANCY_BEG_MONTH_2, VACANCY_AREA_2, VACANCY_USE_2, VACANCY_FLOOR_2, VACANCY_END_YEAR_1, VACANCY_END_MONTH_1, VACANCY_BEG_YEAR_1, VACANCY_BEG_MONTH_1, VACANCY_AREA_1, VACANCY_USE_1, VACANCY_FLOOR_1, SALE_VALIDITY_2, SALE_STATUS_2, CM_SORT, GRSSQFT_OWNR_OCC, PERCENT_OWNR_OCC, PART_OWNR_OCC, ACTUAL_REPORTED_SQ_FT, FILING_STATUS, REDUCT_IND, TAX_COMM_AMOUNT, TAX_COMM_ACTION, TOT_OVR_EXPENSE_ADJ_FLAG, TOTAL_OVR_EXPENSE, TOT_OVR_INCOME_ADJ_FLAG, TOTAL_OVR_INCOME, MISC5_AMOUNT, MISC5_DETAIL, MISC4_AMOUNT, MISC4_DETAIL, MISC3_AMOUNT",NA,NA,NA
"14","IAS","IAS","AA706NYCW_DIFF",6,"RPAD_VAL, PTS_VAL, RPAD_COL, COL, CID, PARID",NA,NA,NA
"15","IAS","IAS","AA771NYC_CNAME_2",7,"OWNNUM, ZIP2, ZIP1, STATECODE, CITYNAME, CODE1_ADR, PO_VER",NA,NA,NA
"16","IAS","IAS","AACHKFIT_TEMP",2,"TOT_CALLED, MYPROG",NA,NA,NA
"17","IAS","IAS","AAINFO",73,"SCH_CONSOL_CD, SCH_CONSOL_FLAG, ARTICLE19_FLAG, ORPS_REGION_FLAG, LEED_PLATINUM, LEED_GOLD, LEED_SILVER, VET_CW_LIMIT, VET_ALT_LIMIT, DISTTYPE, DISTCODE, INFODESCR, INFOCD, INFOTYPE, WENCALC, WHOCALC, WEN, WHO, CUR, SEQ, TAXYR, JUR, MTC_TREND_FACTOR, LID_FLR_PCT, LID_MAX_INC, UDATE10, UDATE9, UDATE8, UDATE7, UDATE6, UDATE5, UDATE4, UDATE3, UDATE2, UDATE1, USERVAL10, USERVAL9, USERVAL8, USERVAL7, USERVAL6, USERVAL5, USERVAL4, USERVAL3, USERVAL2, USERVAL1, USER10, USER9, USER8, USER7, USER6, USER5, USER4, USER3, USER2, USER1, IASW_ID, EX_FLR_PCT, EX_MAX_INC, TOP_CITY_FLAG, FRST_CNTY_CD, FOREST_REGION_FLAG, WESTCHSTR_FLAG, ROLL_FINAL_DATE, ROLL_TENT_DATE, ASSD_DATE, CYCLE_FLAG, EQ_RATE_SPEC, EQ_RATE, UNIFORM_PCT, AR_FINALIZED_FLAG, VLG_ASSD_FLAG, VLG_SPLIT_FLAG, MRKT_AREA_FLAG",NA,NA,NA
