TABLE_NAME,COLUMN_NAME,TYPE,DESCRIPTION,PRIMARY_KEY
ABATEMENT,ABT_ATB_DEADLINE,datetime2,ATB Deadline,NA
ABATEMENT,ABT_ABATED_TAX,numeric,Abated Tax,NA
ABATEMENT,ABT_ABATED_VAL,numeric,Abated Value,NA
ABATEMENT,ABT_APPEAL_TYPE,varchar,Appeal Type,NA
ABATEMENT,ABT_APPEAL_TYPE_DESC,varchar,Appeal Type Desc,NA
ABATEMENT,ABT_APP_ADDR1,varchar,Applicant Address 1,NA
ABATEMENT,ABT_APP_ADDR2,varchar,Applicant Address 2,NA
ABATEMENT,ABT_APP_CITY,varchar,Applicant Address City,NA
ABATEMENT,ABT_APP_STATE,varchar,Applicant Address State,NA
ABATEMENT,ABT_APP_ZIP,varchar,Applicant Address Zip,NA
ABATEMENT,ABT_APPLICANT,varchar,Applicant Name,NA
ABATEMENT,ABT_APP_PHONE,varchar,Applicant Phone Number,NA
ABATEMENT,ABT_APP_DATE,datetime2,Application Date,NA
ABATEMENT,ABT_ASSESS_VAL,numeric,Assessed Value,NA
ABATEMENT,ABT_BILL_NUM,varchar,Bill Number,NA
ABATEMENT,ABT_CERT_NUM,varchar,Cert Number,NA
ABATEMENT,ABT_CONT_ADDR1,varchar,Contact Address 1,NA
ABATEMENT,ABT_CONT_ADDR2,varchar,Contact Address 2,NA
ABATEMENT,ABT_CONT_CITY,varchar,Contact Address City,NA
ABATEMENT,ABT_CONT_STATE,varchar,Contact Address State,NA
ABATEMENT,ABT_CONT_ZIP,varchar,Contact Address Zip,NA
ABATEMENT,ABT_CONTACT,varchar,Contact Name,NA
ABATEMENT,ABT_CONT_PHONE,varchar,Contact Phone Number,NA
ABATEMENT,ABT_CREATE_DATE,datetime,Create Date,NA
ABATEMENT,ABT_DECISION_DATE,datetime2,Decision Date,NA
ABATEMENT,ABT_EXTRACT_DATE,datetime2,Extract Date,NA
ABATEMENT,ABT_FISCAL_YR,numeric,Fiscal Year,NA
ABATEMENT,ABT_HEARING_DATE,datetime2,Hearing Date,NA
ABATEMENT,ABT_HEARING_TIME,varchar,Hearing Time,NA
ABATEMENT,ABT_INITIALS,varchar,Initials,NA
ABATEMENT,ABT_INSPECT_DATE,datetime2,Inspection Date,NA
ABATEMENT,ABT_APPEAL_INSPECTIONREQD,numeric,Inspection Required,NA
ABATEMENT,ABT_INSPECT_TIME,varchar,Inspection Time,NA
ABATEMENT,ABT_LAST_UPDATE,datetime,Last Update,NA
ABATEMENT,ABT_LINE_NUM,numeric,Line Number,TRUE
ABATEMENT,ABT_MNC,numeric,Municipality Code,TRUE
ABATEMENT,ABT_NOTES,varchar,Notes,NA
ABATEMENT,ABT_PID,numeric,Parcel Id,TRUE
ABATEMENT,ABT_PAYMNT_STATUS,numeric,Payment Status,NA
ABATEMENT,ABT_POST_DATE,datetime2,Post Date,NA
ABATEMENT,ABT_REASON,varchar,Reason Code,NA
ABATEMENT,ABT_REASON_DESC,varchar,Reason Description,NA
ABATEMENT,ABT_REQUEST_VAL,numeric,Requested Value,NA
ABATEMENT,ABT_STATUS,varchar,Status Code,NA
ABATEMENT,ABT_STATUS_DESC,varchar,Status Description,NA
ABATEMENT,ABT_APPEAL_SUPERVISOR,varchar,Supervisor,NA
ABATEMENT,ABT_APPEAL_PREPDOCUMENTATION,numeric,Supervisor Approved,NA
ABATEMENT,ABT_APPEAL_SUPERVISOR_INITIALS,varchar,Supervisor Initials,NA
ABATEMENT,ABT_TAX_RATE,numeric,Tax Rate,NA
ABATEMENT,ABT_TTL_TAX,numeric,Total Tax,NA
ABATEMENT,ABT_USE_CODE,varchar,Use Code,NA
ABATEMENT,ABT_APPEAL_SUPERVISOR_APPROVED,numeric,NA,NA
ABATEMENT,ABT_AMTCHNGD_VAL,numeric,NA,NA
ABATEMENT,ABT_PCTCHNGD_VAL,numeric,NA,NA
ABATEMENT,ABT_APP_EMAIL,varchar,NA,NA
ABATEMENT,ABT_CONT_EMAIL,varchar,NA,NA
ABATEMENT,ABT_APP_SEC_PHONE,varchar,NA,NA
ABATEMENT,ABT_CONT_SEC_PHONE,varchar,NA,NA
ABATEMENT,ABT_APP_COMPANY,varchar,NA,NA
ABATEMENT,ABT_CONT_COMPANY,varchar,NA,NA
ABATEMENT,ABT_USRFLD_01,varchar,NA,NA
ABATEMENT,ABT_USRFLD_02,varchar,NA,NA
ABATEMENT,ABT_USRFLD_03,varchar,NA,NA
ABATEMENT,ABT_USRFLD_04,varchar,NA,NA
ABATEMENT,ABT_USRFLD_05,varchar,NA,NA
ABATEMENT,ABT_USRFLD_06,varchar,NA,NA
ABATEMENT,ABT_USRFLD_07,varchar,NA,NA
ABATEMENT,ABT_USRFLD_08,varchar,NA,NA
ACRECURV,ACC_LND_CLASS,varchar,Class,TRUE
ACRECURV,ACC_CREATE_DATE,datetime,Create Date,NA
ACRECURV,ACC_CURVE_ID,varchar,Curve Id,TRUE
ACRECURV,ACC_ACRES,numeric,Land Units,TRUE
ACRECURV,ACC_LAST_UPDATE,datetime,Last Update,NA
ACRECURV,ACC_MNC,numeric,Municipality,TRUE
ACRECURV,ACC_PRICE,numeric,Unit Price,NA
ACREDISC,ACD_ACREAGE,numeric,Acreage,TRUE
ACREDISC,ACD_ACREAG2,float,Acreage,NA
ACREDISC,ACD_LND_CLASS,varchar,Class,TRUE
ACREDISC,ACD_CREATE_DATE,datetime,Create Date,NA
ACREDISC,ACD_DISCOUNT_FACTOR,numeric,Dicount Factor,NA
ACREDISC,ACD_LAST_UPDATE,datetime,Last Update,NA
ACREDISC,ACD_MNC,numeric,Municipality,TRUE
ACREDISC,ACD_PRV_CODE,float,Prev_Code,NA
ACREDISC,ACD_MMC_DEFINED,numeric,Source,NA
ACREDISC,ACD_RECORD_STATUS,varchar,Status,NA
ACREDISC,ACD_STATUS_DATE,datetime2,Status Date,NA
ADDRESS,ADR_ADDRESS_ID,numeric,Address ID,NA
ADDRESS,ADR_ADDRESS_INFO,varchar,Address Info,NA
ADDRESS,ADR_PRCL_LOCN_ADDRESS_ID,varchar,Address Parcel Location Id,NA
ADDRESS,ADR_TYPE,varchar,Address Type,NA
ADDRESS,ADR_APT,varchar,Apartment,NA
ADDRESS,ADR_BLDG_NUM,numeric,Bldg,NA
ADDRESS,ADR_BOX_NUMBER,varchar,Box Num,NA
ADDRESS,ADR_CITY,varchar,City,NA
ADDRESS,ADR_COUNTRY,varchar,Country,NA
ADDRESS,ADR_COUNTY,varchar,County,NA
ADDRESS,ADR_CREATE_DATE,datetime,Create Date,NA
ADDRESS,ADR_LAST_UPDATE,datetime,Last Update,NA
ADDRESS,ADR_LINE_NUM,numeric,Line Number,TRUE
ADDRESS,ADR_LOCN,varchar,Location,NA
ADDRESS,ADR_IS_PRIMARY,numeric,Main,NA
ADDRESS,ADR_MNC,numeric,Mnc Code,TRUE
ADDRESS,ADR_NUM_CHAR_HIGH,varchar,Num Char High,NA
ADDRESS,ADR_NUM_HIGH,numeric,Num High,NA
ADDRESS,ADR_STREET_NUMBER_PREFIX,varchar,Number Prefix,NA
ADDRESS,ADR_STREET_NUMBER_SUFFIX,varchar,Number Suffix,NA
ADDRESS,ADR_POST_DIRECTION,varchar,Post Direc.,NA
ADDRESS,ADR_PRE_DIRECTION,varchar,Pre Direc.,NA
ADDRESS,ADR_STT,varchar,State,NA
ADDRESS,ADR_STREET,varchar,Street Name,NA
ADDRESS,ADR_NUM,numeric,Street Number,NA
ADDRESS,ADR_NUM_CHAR,varchar,Street Number,NA
ADDRESS,ADR_STR_PFX,varchar,Street Prefix,NA
ADDRESS,ADR_STR_SFX,varchar,Street Suffic,NA
ADDRESS,ADR_STREET_TYPE,varchar,Street Type,NA
ADDRESS,ADR_UNIT_TYPE,varchar,Unit Type,NA
ADDRESS,ADR_PID,numeric,Vision ID,TRUE
ADDRESS,ADR_ZIP,varchar,Zip Code,NA
AHCODE,AHC_DESC_BLDG,varchar,Building,NA
AHCODE,AHC_CODE,varchar,Code,TRUE
AHCODE,AHC_CREATE_DATE,datetime,Create Date,NA
AHCODE,AHC_DESC_XF,varchar,Extra Features,NA
AHCODE,AHC_DESC_LND_1,varchar,Land Line 1,NA
AHCODE,AHC_DESC_LND_2,varchar,Land Line 2+,NA
AHCODE,AHC_LAST_UPDATE,datetime,Last Update,NA
AHCODE,AHC_CODE_M13,varchar,M13 Code,NA
AHCODE,AHC_MNC,numeric,Municipality,TRUE
AHCODE,AHC_DESC_OB,varchar,Outbuilding,NA
AHCODE,AHC_PRV_CODE,varchar,Prev_Code,NA
AHCODE,AHC_MMC_DEFINED,numeric,Source,NA
AHCODE,AHC_RECORD_STATUS,varchar,Status,NA
AHCODE,AHC_STATUS_DATE,datetime2,Status Date,NA
AHDATE,AHD_LND_ALT_MKT_PART_AP,numeric,Alt Land Mkt Part Ap,NA
AHDATE,AHD_LND_ALT_PART_AP,numeric,Alt Land Part Ap,NA
AHDATE,AHD_TTL_APPRAIS_BLDG,numeric,Building Value,NA
AHDATE,AHD_TTL_APPRAIS_PRE_PHASE_IN,numeric,Calc Apprais Value,NA
AHDATE,AHD_CLASSIFIED_LAND,numeric,Classified Lnd,NA
AHDATE,AHD_COMMENT,varchar,Comment,NA
AHDATE,AHD_CREATE_DATE,datetime,Create Date,NA
AHDATE,AHD_SAVE_DATE,datetime2,Date Saved,NA
AHDATE,AHD_TTL_EXEMPT,numeric,Exemptions,NA
AHDATE,AHD_FINAL_SAVE,numeric,Final Or Interim,NA
AHDATE,AHD_FINAL_VAL,numeric,Final Value,NA
AHDATE,AHD_FINAL_VAL_TYPE,numeric,Final Value Type,NA
AHDATE,AHD_FISCAL_YR,numeric,Fiscal Year,NA
AHDATE,AHD_EXE2_OVR,numeric,Hmsite Override,NA
AHDATE,AHD_EXE1_OVR,numeric,Hmstead Override,NA
AHDATE,AHD_HOMESTEAD_PORTABILITY,numeric,Homestead Portability,NA
AHDATE,AHD_LND_TYPE,varchar,Land Type,NA
AHDATE,AHD_LND_USE,varchar,Land Use Code,NA
