"","TABLE_NAME","COLUMN_NAME","TYPE","DESCRIPTION"
"1","VW_PDM_CONDBASE","APTNO","VARCHAR2","REM_PRCL_LOCN_APT"
"2","VW_PDM_CONDBASE","AR","VARCHAR2","PRC_PF_06 : ARATING"
"3","VW_PDM_CONDBASE","ATTSFLA","NUMBER","SUB_AREA_GROSS(PAF):PARTIAL FL. AREA"
"4","VW_PDM_CONDBASE","AVDECL","NUMBER","PHYSICAL DECREASE - LAND"
"5","VW_PDM_CONDBASE","AVDECT","NUMBER","PHYSICAL DECREASE - TOTAL"
"6","VW_PDM_CONDBASE","AVEQLL","NUMBER","EQ. CHANGES - LAND"
"7","VW_PDM_CONDBASE","AVEQLT","NUMBER","TOTAL EQ. CHANGES"
"8","VW_PDM_CONDBASE","AVFDECL","NUMBER","PHYSICAL DECREASE - LAND"
"9","VW_PDM_CONDBASE","AVFDECT","NUMBER","PHYSICAL DECREASE - TOTAL"
"10","VW_PDM_CONDBASE","AVFEQLL","NUMBER","EQ. CHANGES - LAND"
"11","VW_PDM_CONDBASE","AVFEQLT","NUMBER","TOTAL EQ. CHANGES"
"12","VW_PDM_CONDBASE","AVFINCL","NUMBER","PHYSICAL INCREASE - LAND"
"13","VW_PDM_CONDBASE","AVFINCT","NUMBER","PHYSICAL INCREASE - TOTAL"
"14","VW_PDM_CONDBASE","AVIDECL","NUMBER","PHYSICAL DECREASE - LAND"
"15","VW_PDM_CONDBASE","AVIDECT","NUMBER","PHYSICAL DECREASE - TOTAL"
"16","VW_PDM_CONDBASE","AVIEQLL","NUMBER","EQ. CHANGES - LAND"
"17","VW_PDM_CONDBASE","AVIEQLT","NUMBER","TOTAL EQ. CHANGES"
"18","VW_PDM_CONDBASE","AVIINCL","NUMBER","PHYSICAL INCREASE - LAND"
"19","VW_PDM_CONDBASE","AVIINCT","NUMBER","PHYSICAL INCREASE - TOTAL"
"20","VW_PDM_CONDBASE","AVINCL","NUMBER","PHYSICAL INCREASE - LAND"
"21","VW_PDM_CONDBASE","AVINCT","NUMBER","PHYSICAL INCREASE - TOTAL"
"22","VW_PDM_CONDBASE","AVRDECL","NUMBER","PHYSICAL DECREASE - LAND"
"23","VW_PDM_CONDBASE","AVRDECT","NUMBER","PHYSICAL DECREASE - TOTAL"
"24","VW_PDM_CONDBASE","AVREQLL","NUMBER","EQ. CHANGES - LAND"
"25","VW_PDM_CONDBASE","AVREQLT","NUMBER","TOTAL EQ. CHANGES"
"26","VW_PDM_CONDBASE","AVRINCL","NUMBER","PHYSICAL INCREASE - LAND"
"27","VW_PDM_CONDBASE","AVRINCT","NUMBER","PHYSICAL INCREASE - TOTAL"
"28","VW_PDM_CONDBASE","BC","VARCHAR2","REM_BLDG_CLASS"
"29","VW_PDM_CONDBASE","BEDRM1","NUMBER","CONSTRCDM.CNS_NUM_PARK_EASEMENT"
"30","VW_PDM_CONDBASE","BEDRM2","NUMBER","CONSTRCDM.CNS_NUM_PARK_COMMON"
"31","VW_PDM_CONDBASE","BILLBLOCK","NUMBER","REM_MBLU_BLOCK : BILLING BLOCK"
"32","VW_PDM_CONDBASE","BILLEASE","VARCHAR2","REM_MBLU_LOT_CUT : BILLING EASEMENT"
"33","VW_PDM_CONDBASE","BILLLOT","NUMBER","REM_MBLU_LOT : BILLING LOT"
"34","VW_PDM_CONDBASE","BISCODE","CHAR","CTR.CNS_BIS_CODE"
"35","VW_PDM_CONDBASE","BLDDEPTH","NUMBER","BLD_DEPTH"
