"","DATABASE","SCHEMA","TABLE_NAME","PREFIX","COLS","RECORDS","PRIMARY_KEYS"
"1","V8_NEWYORK_NY_LIVE","COMPS","ABATEMENT","ABT",68,131781,"ABT_PID, ABT_LINE_NUM"
"2","V8_NEWYORK_NY_LIVE","COMPS","ACRECURV","ACC",7,0,"ACC_CURVE_ID, ACC_LND_CLASS, ACC_ACRES"
"3","V8_NEWYORK_NY_LIVE","COMPS","ACREDISC","ACD",11,0,"ACD_LND_CLASS, ACD_ACREAGE"
"4","V8_NEWYORK_NY_LIVE","COMPS","ADDRESS","ADR",32,28597,"ADR_PID, ADR_LINE_NUM"
"5","V8_NEWYORK_NY_LIVE","COMPS","AHCODE","AHC",14,150,"AHC_CODE"
"6","V8_NEWYORK_NY_LIVE","COMPS","AHDATE","AHD",103,1053424,"AHD_PID, AHD_SAVE_NUM"
"7","V8_NEWYORK_NY_LIVE","COMPS","AHTAXAUTH","AHT",14,0,"AHT_SAVE_ID, AHT_PID, AHT_TAX_AUTHORITY_ID"
"8","V8_NEWYORK_NY_LIVE","COMPS","AHTAXAUTHLINE","ATL",44,0,"ATL_SAVE_ID, ATL_PID, ATL_TAX_AUTHORITY_ID, ATL_IS_HOMESTEAD"
"9","V8_NEWYORK_NY_LIVE","COMPS","ALT_APP_HIST","AAH",10,0,"AAH_PID, AAH_LINE_NUM"
"10","V8_NEWYORK_NY_LIVE","COMPS","ALT_LAND_CAT","ALC",6,0,"ALC_CAT"
"11","V8_NEWYORK_NY_LIVE","COMPS","ALT_LAND_RATES","ALR",9,0,"ALR_TYPE, ALR_PROD"
"12","V8_NEWYORK_NY_LIVE","COMPS","ALT_LAND_SOIL_TYPE","ALS",7,0,"ALS_SOIL_TYPE"
"13","V8_NEWYORK_NY_LIVE","COMPS","ALT_LAND_TYPE","ALT",5,0,"ALT_TYPE"
"14","V8_NEWYORK_NY_LIVE","COMPS","AMORT_EXEMPT","AME",16,0,"AME_EXEMPTION_TYPE, AME_TYPE"
"15","V8_NEWYORK_NY_LIVE","COMPS","AREACODE","SAT",19,1014,"SAT_MDL, SAT_AREA_TYPE"
"16","V8_NEWYORK_NY_LIVE","COMPS","ASSDETAIL","ASD",21,0,"ASD_SAVE_ID, ASD_DETAIL_ID"
"17","V8_NEWYORK_NY_LIVE","COMPS","ASSDIST","ASD",34,17925,"ASD_CODE, ASD_MDL"
"18","V8_NEWYORK_NY_LIVE","COMPS","ASSHIST","ASH",29,2425249,"ASH_PID, ASH_SAVE_NUM, ASH_CODE, ASH_TYPE"
"19","V8_NEWYORK_NY_LIVE","COMPS","BCAT_RATES","BCR",23,0,"BCR_SUB_CODE, BCR_CODE"
"20","V8_NEWYORK_NY_LIVE","COMPS","BLDG","BLD",31,28593,"BLD_PID, BLD_BID"
"21","V8_NEWYORK_NY_LIVE","COMPS","BLDGPERM","BPE",36,2041,"BPE_PID, BPE_BID, BPE_LINE_NUM, BPE_FISCAL_YR"
"22","V8_NEWYORK_NY_LIVE","COMPS","BLOCKADJ","BLK",7,0,"BLK_WARD, BLK_PRECINCT, BLK_SUBDIV"
"23","V8_NEWYORK_NY_LIVE","COMPS","BOI_CAPRATE_METHOD","BOI",16,0,"BOI_CODE, BOI_LINE_NUM"
"24","V8_NEWYORK_NY_LIVE","COMPS","BUILDINGGROUP","BGP",7,0,"BGP_PID, BGP_GROUP_ID, BGP_GROUP_NAME"
"25","V8_NEWYORK_NY_LIVE","COMPS","BUILDING_CATEGORY","BCT",6,0,"BCT_CODE"
"26","V8_NEWYORK_NY_LIVE","COMPS","CALCINV","CIN",7,0,"CIN_JOB_ID, CIN_PID"
"27","V8_NEWYORK_NY_LIVE","COMPS","CALCPARAM","CAL",5,15,"CAL_JOB_ID, CAL_PARAM"
"28","V8_NEWYORK_NY_LIVE","COMPS","CHG_DETAIL","CHD",16,0,"CHD_PID, CHD_BID, CHD_LINE_NUM"
"29","V8_NEWYORK_NY_LIVE","COMPS","CLJOB","CLJ",19,3,"CLJ_JOB_ID"
"30","V8_NEWYORK_NY_LIVE","COMPS","COMMNBHD","CNH",9,0,"CNH_CODE, CNH_MDL"
"31","V8_NEWYORK_NY_LIVE","COMPS","CONDO","OCC",13,13144,"OCC_CODE"
"32","V8_NEWYORK_NY_LIVE","COMPS","CONDO_ADJUST","CDA",14,0,"CDA_TYPE, CDA_CONDO_CMPLX, CDA_CODE"
"33","V8_NEWYORK_NY_LIVE","COMPS","CONDO_MAPPING","CNM",15,0,"CNM_UID"
"34","V8_NEWYORK_NY_LIVE","COMPS","CONDO_USETYPE","CUT",8,0,"CUT_UID"
"35","V8_NEWYORK_NY_LIVE","COMPS","CONSTR","CNS",62,28593,"CNS_PID, CNS_BID_IDENT"
"36","V8_NEWYORK_NY_LIVE","COMPS","CONSTRCDM","CNS",72,0,"CNS_PID, CNS_BID_IDENT, CNS_SECT_IDENT"
"37","V8_NEWYORK_NY_LIVE","COMPS","CONSTRCDU","CNS",157,0,"CNS_PID, CNS_BID_IDENT, CNS_SECT_IDENT"
"38","V8_NEWYORK_NY_LIVE","COMPS","CONSTRCOM","CNS",136,0,"CNS_PID, CNS_BID_IDENT, CNS_SECT_IDENT"
"39","V8_NEWYORK_NY_LIVE","COMPS","CONSTRDEP","CNS",37,28593,"CNS_PID, CNS_BID_IDENT, CNS_SECT_IDENT"
"40","V8_NEWYORK_NY_LIVE","COMPS","CONSTRRES","CNS",137,28593,"CNS_PID, CNS_BID_IDENT, CNS_SECT_IDENT"
"41","V8_NEWYORK_NY_LIVE","COMPS","CONSTRSECTION","CNS",484,0,"CNS_PID, CNS_BID_IDENT, CNS_SECT_IDENT"
"42","V8_NEWYORK_NY_LIVE","COMPS","COSTMDL","CMD",7,26,"CMD_CODE"
"43","V8_NEWYORK_NY_LIVE","COMPS","COSTRATE","CST",16,391,"CST_GROUP, CST_CLASS"
"44","V8_NEWYORK_NY_LIVE","COMPS","COSTVAR","RVR",23,1608,"RVR_CODE, RVR_SPSS_NAME"
"45","V8_NEWYORK_NY_LIVE","COMPS","COSTVAR_DEP","CDV",9,18,"CDV_MODEL_NAME, CDV_VAR_NAME, CDV_DEP_VAR"
"46","V8_NEWYORK_NY_LIVE","COMPS","CO_BATCH","COB",18,0,"COB_SEQ"
"47","V8_NEWYORK_NY_LIVE","COMPS","CO_DETAIL","COD",6,0,"COD_PID, COD_SEQ"
"48","V8_NEWYORK_NY_LIVE","COMPS","CO_SALES","COS",5,0,"COS_PID, COS_SEQ"
"49","V8_NEWYORK_NY_LIVE","COMPS","CRCONTRL","CRC",14,0,"CRC_CODE, CRC_TYPE"
"50","V8_NEWYORK_NY_LIVE","COMPS","CRSTORE","CRS",53,0,"CRS_PID"
"51","V8_NEWYORK_NY_LIVE","COMPS","CRVAR","CRV",23,15654,"CRV_CODE, CRV_VAR_NAME"
"52","V8_NEWYORK_NY_LIVE","COMPS","CRVAR_BINARY","CRB",7,0,"CRB_CODE, CRB_VAR_NAME, CRB_CODE_NAME"
"53","V8_NEWYORK_NY_LIVE","COMPS","CSCONTRL","CCS",19,40,"CCS_CODE, CCS_TYPE"
"54","V8_NEWYORK_NY_LIVE","COMPS","CSSTORE","CSS",49,4,"CSS_PID"
"55","V8_NEWYORK_NY_LIVE","COMPS","CSVAR","CVR",16,299,"CVR_CODE, CVR_VAR_NAME"
"56","V8_NEWYORK_NY_LIVE","COMPS","CSVAR_BINARY","CSB",7,334,"CSB_CODE, CSB_VAR_NAME, CSB_CODE_NAME"
"57","V8_NEWYORK_NY_LIVE","COMPS","DELBLDG","BLD",31,0,"BLD_PID, BLD_BID"
"58","V8_NEWYORK_NY_LIVE","COMPS","DELLAND","LND",116,0,"LND_PID, LND_BID, LND_LINE_ID"
"59","V8_NEWYORK_NY_LIVE","COMPS","DELMAST","REM",81,0,"REM_PID"
"60","V8_NEWYORK_NY_LIVE","COMPS","DEPRDESC","DRD",12,3,"DRD_DPR_TABLE_ID"
"61","V8_NEWYORK_NY_LIVE","COMPS","DEPREC","DPR",7,201,"DPR_TABLE_ID, DPR_AGE"
"62","V8_NEWYORK_NY_LIVE","COMPS","DOCUMENTS","DOC",14,4783,"DOC_KEY, DOC_LINE_NUM, DOC_KEY_TYPE"
"63","V8_NEWYORK_NY_LIVE","COMPS","EXEMPTS","EXE",24,0,"EXE_PID, EXE_LINE_NUM"
"64","V8_NEWYORK_NY_LIVE","COMPS","EYB","EYB",7,7182,"EYB_MDL, EYB_CNDTN, EYB_AGE"
"65","V8_NEWYORK_NY_LIVE","COMPS","FIRES","FIR",10,0,"FIR_PID, FIR_BID, FIR_LINE_NUM"
"66","V8_NEWYORK_NY_LIVE","COMPS","FRONTFOOTCURV","FFC",7,0,"FFC_CURVE_ID, FFC_LND_CLASS, FFC_UNITS"
"67","V8_NEWYORK_NY_LIVE","COMPS","HOMEDIST","HDS",10,0,"HDS_IS_FARM, HDS_CODE"
"68","V8_NEWYORK_NY_LIVE","COMPS","HOMESTEAD","HOM",89,0,"HOM_PID, HOM_TYPE, HOM_LINE_NUM"
"69","V8_NEWYORK_NY_LIVE","COMPS","IMPOSITION","IMS",21,0,"IMS_PID, IMS_CASE_NUM, IMS_TYPE, IMS_YEAR"
"70","V8_NEWYORK_NY_LIVE","COMPS","INCADJCODES","IAC",5,1,"IAC_CODE"
"71","V8_NEWYORK_NY_LIVE","COMPS","INCADJUST","IAD",10,0,"IAD_CODE, IAD_RATING"
"72","V8_NEWYORK_NY_LIVE","COMPS","INCCAPADJ","ICA",7,0,"ICA_RATING"
"73","V8_NEWYORK_NY_LIVE","COMPS","INCCAPCODES","ICC",16,0,"ICC_CODE"
"74","V8_NEWYORK_NY_LIVE","COMPS","INCEXP","INE",5,15,"INE_CODE"
"75","V8_NEWYORK_NY_LIVE","COMPS","INCGIMADJ","IGA",6,0,"IGA_FACTOR"
"76","V8_NEWYORK_NY_LIVE","COMPS","INCGIMCODES","IGC",6,0,"IGC_CODE"
"77","V8_NEWYORK_NY_LIVE","COMPS","INCGRMADJ","IMA",6,0,"IMA_FACTOR"
"78","V8_NEWYORK_NY_LIVE","COMPS","INCGRMCODES","IMC",6,0,"IMC_CODE"
"79","V8_NEWYORK_NY_LIVE","COMPS","INCGROUP_E","IGR",7,0,"IGR_CODE"
"80","V8_NEWYORK_NY_LIVE","COMPS","INCMLINE","ICL",48,0,"ICL_PID, ICL_LINE_NUM, ICL_IS_XPER, ICL_INCOME_YR"
"81","V8_NEWYORK_NY_LIVE","COMPS","INCMLINE_E","ICL",43,0,"ICL_PID, ICL_LINE_NUM, ICL_IS_XPER, ICL_INCOME_YR"
"82","V8_NEWYORK_NY_LIVE","COMPS","INCOME","INC",88,0,"INC_PID, INC_IS_XPER, INC_INCOME_YR"
"83","V8_NEWYORK_NY_LIVE","COMPS","INCOME_AM_CURVE","IAC",12,0,"IAC_POINT_NAME, IAC_BLDG_SUB_CAT, IAC_BLDG_CAT"
"84","V8_NEWYORK_NY_LIVE","COMPS","INCOME_E","INC",53,0,"INC_PID, INC_IS_XPER, INC_INCOME_YR"
"85","V8_NEWYORK_NY_LIVE","COMPS","INCOME_EXPENSES","IEX",17,0,"IEX_PID, IEX_INCOME_YEAR, IEX_LINE_NUM"
"86","V8_NEWYORK_NY_LIVE","COMPS","INCOME_HOTEL","IHM",14,0,"IHM_HOTEL_CLASS, IHM_NUM_RM"
"87","V8_NEWYORK_NY_LIVE","COMPS","INCOME_HOTEL_CODES","IHC",7,39,"IHC_HOTEL_CODE"
"88","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LEASE_TYPES","ILT",7,0,"ILT_CODE"
"89","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LF","ILF",95,0,"ILF_PID, ILF_BID, ILF_SECT_NUM, ILF_YEAR"
"90","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LF_APPROACH","ILA",86,0,"ILA_PID, ILA_BID, ILA_SECT_NUM, ILA_BLDG_CAT, ILA_BLDG_SUB_CAT, ILA_YEAR, ILA_TYPE"
"91","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LF_AREA_MAP","IAM",7,17,"IAM_AREA_CODE"
"92","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LF_CODES","ILC",7,1,"ILC_CODE"
"93","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LF_INC_ACTUAL","ILI",40,0,"ILI_PID, ILI_BID, ILI_SECT_NUM, ILI_YEAR, ILI_INC_TYPE, ILI_LINE_NUM"
"94","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LF_INC_HOTEL","IIH",16,0,"IIH_YEAR, IIH_LINE_NUM, IIH_PID"
"95","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LF_INC_SPECIALTY_PROPERTY","IIS",11,0,"IIS_PID, IIS_YEAR, IIS_LINE_NUM"
